variant,algo,seed,map_seed,map_config,density,episode,eval_n_envs,reward,shaped_reward,success,route_completion,collision,crash_vehicle,crash_object,out_of_road,cost,episode_length,mean_speed_kmh,mean_lane_deviation,max_lane_deviation,steering_variation,accel_variation,jerk,ttc_risk,min_ttc,shield_intervention,shield_soft,shield_hard,overspeed_guard,shield_intervention_rate,shield_soft_rate,shield_hard_rate,overspeed_guard_rate,source_config_json,source_model_path
proposed,ppo,1,10300,7,0.0,0,10,372.9669115607684,237.2191971051389,1.0,0.988565642353277,0.0,0.0,0.0,0.0,0.0,748,20.18341786142936,0.19770331953232267,0.4077057432943099,0.02040643845454486,0.23529411764705882,0.23796791443850268,0.0,,640,0,0,640,0.8556149732620321,0.0,0.0,0.8556149732620321,outputs/tuning_lr1e4_prehard_nenv10_1p5m/runs/proposed_ppo_s1/config.json,outputs/tuning_lr1e4_prehard_nenv10_1p5m/runs/proposed_ppo_s1/model/checkpoint_750000_steps.zip
proposed,ppo,1,10100,7,0.0,1,10,363.0907872625644,209.6878940593416,1.0,0.9895799222983526,0.0,0.0,0.0,0.0,0.0,813,20.170583879889964,0.2880808958210929,0.6310947132803816,0.01908669545605027,0.24354243542435425,0.24354243542435425,0.0,,694,0,0,694,0.8536285362853628,0.0,0.0,0.8536285362853628,outputs/tuning_lr1e4_prehard_nenv10_1p5m/runs/proposed_ppo_s1/config.json,outputs/tuning_lr1e4_prehard_nenv10_1p5m/runs/proposed_ppo_s1/model/checkpoint_750000_steps.zip
proposed,ppo,1,10600,7,0.0,2,10,459.77816823213647,278.4370489565769,1.0,0.9902970749826971,0.0,0.0,0.0,0.0,0.0,910,20.24327578701193,0.1809937874697603,0.43993582785328994,0.028958153464846762,0.23516483516483516,0.23956043956043957,0.0,,775,0,0,775,0.8516483516483516,0.0,0.0,0.8516483516483516,outputs/tuning_lr1e4_prehard_nenv10_1p5m/runs/proposed_ppo_s1/config.json,outputs/tuning_lr1e4_prehard_nenv10_1p5m/runs/proposed_ppo_s1/model/checkpoint_750000_steps.zip
proposed,ppo,1,10700,7,0.0,3,10,431.10920336311113,240.44011402873028,1.0,0.9916045174645862,0.0,0.0,0.0,0.0,0.0,959,20.282004746619336,0.2799537778612831,0.5192487226704707,0.016485376944993666,0.2210636079249218,0.22314911366006257,0.0,,835,0,0,835,0.8706986444212722,0.0,0.0,0.8706986444212722,outputs/tuning_lr1e4_prehard_nenv10_1p5m/runs/proposed_ppo_s1/config.json,outputs/tuning_lr1e4_prehard_nenv10_1p5m/runs/proposed_ppo_s1/model/checkpoint_750000_steps.zip
proposed,ppo,1,10000,7,0.0,4,10,477.3807046929033,278.5566242078885,1.0,0.9914190422769146,0.0,0.0,0.0,0.0,0.0,992,20.24332680725618,0.22075847702145987,0.39931251481068053,0.016043643498461838,0.22782258064516128,0.22983870967741934,0.0,,860,0,0,860,0.8669354838709677,0.0,0.0,0.8669354838709677,outputs/tuning_lr1e4_prehard_nenv10_1p5m/runs/proposed_ppo_s1/config.json,outputs/tuning_lr1e4_prehard_nenv10_1p5m/runs/proposed_ppo_s1/model/checkpoint_750000_steps.zip
proposed,ppo,1,10500,7,0.0,5,10,489.545447818305,274.56219085658466,1.0,0.9900990690010726,0.0,0.0,0.0,0.0,0.0,1051,20.24232170226397,0.2495276975298891,0.5083654977161134,0.017541761398532533,0.23596574690770694,0.23596574690770694,0.0,,908,0,0,908,0.8639391056137012,0.0,0.0,0.8639391056137012,outputs/tuning_lr1e4_prehard_nenv10_1p5m/runs/proposed_ppo_s1/config.json,outputs/tuning_lr1e4_prehard_nenv10_1p5m/runs/proposed_ppo_s1/model/checkpoint_750000_steps.zip
proposed,ppo,1,10800,7,0.0,6,10,533.1799162496371,309.7010698316998,1.0,0.9932999333969859,0.0,0.0,0.0,0.0,0.0,1076,20.3180423451167,0.19534220865840232,0.35218265448564534,0.016543795469023986,0.21561338289962825,0.2174721189591078,0.0,,942,0,0,942,0.8754646840148699,0.0,0.0,0.8754646840148699,outputs/tuning_lr1e4_prehard_nenv10_1p5m/runs/proposed_ppo_s1/config.json,outputs/tuning_lr1e4_prehard_nenv10_1p5m/runs/proposed_ppo_s1/model/checkpoint_750000_steps.zip
proposed,ppo,1,10400,7,0.0,7,10,564.1935256271521,307.5008607745154,1.0,0.9933520044701188,0.0,0.0,0.0,0.0,0.0,1199,20.33425394481977,0.2377221145847285,0.5807409906971106,0.017228085292232152,0.2151793160967473,0.21601334445371143,0.0,,1051,0,0,1051,0.8765638031693077,0.0,0.0,0.8765638031693077,outputs/tuning_lr1e4_prehard_nenv10_1p5m/runs/proposed_ppo_s1/config.json,outputs/tuning_lr1e4_prehard_nenv10_1p5m/runs/proposed_ppo_s1/model/checkpoint_750000_steps.zip
proposed,ppo,1,10200,7,0.0,8,10,562.478544767796,267.8310223384217,0.0,0.9020869752702774,0.0,0.0,0.0,0.0,0.0,1200,20.306150003882944,0.21324756198066835,0.7951871113779162,0.025153293587694255,0.23166666666666666,0.22916666666666666,0.0,,1029,0,0,1029,0.8575,0.0,0.0,0.8575,outputs/tuning_lr1e4_prehard_nenv10_1p5m/runs/proposed_ppo_s1/config.json,outputs/tuning_lr1e4_prehard_nenv10_1p5m/runs/proposed_ppo_s1/model/checkpoint_750000_steps.zip
proposed,ppo,1,10900,7,0.0,9,10,535.083496185989,244.88438993969706,0.0,0.8891227724295472,0.0,0.0,0.0,0.0,0.0,1200,20.293841779408975,0.25136570602778413,0.5145699611059633,0.022608243626891636,0.22666666666666666,0.23333333333333334,0.0,,1039,0,0,1039,0.8658333333333333,0.0,0.0,0.8658333333333333,outputs/tuning_lr1e4_prehard_nenv10_1p5m/runs/proposed_ppo_s1/config.json,outputs/tuning_lr1e4_prehard_nenv10_1p5m/runs/proposed_ppo_s1/model/checkpoint_750000_steps.zip
proposed,ppo,1,10301,7,0.0,10,10,432.59598375203836,261.5148187034832,1.0,0.9904682205689568,0.0,0.0,0.0,0.0,0.0,886,20.225645373114297,0.21289213582040206,0.3291890442401966,0.016901710518067135,0.22686230248307,0.2291196388261851,0.0,,766,0,0,766,0.8645598194130926,0.0,0.0,0.8645598194130926,outputs/tuning_lr1e4_prehard_nenv10_1p5m/runs/proposed_ppo_s1/config.json,outputs/tuning_lr1e4_prehard_nenv10_1p5m/runs/proposed_ppo_s1/model/checkpoint_750000_steps.zip
proposed,ppo,1,10101,7,0.0,11,10,456.9210050013841,262.9502771475635,1.0,0.990957223721645,0.0,0.0,0.0,0.0,0.0,963,20.248101783490505,0.2349298784008716,0.530527864665805,0.01590635318300365,0.22429906542056074,0.22429906542056074,0.0,,837,0,0,837,0.8691588785046729,0.0,0.0,0.8691588785046729,outputs/tuning_lr1e4_prehard_nenv10_1p5m/runs/proposed_ppo_s1/config.json,outputs/tuning_lr1e4_prehard_nenv10_1p5m/runs/proposed_ppo_s1/model/checkpoint_750000_steps.zip
proposed,ppo,1,10501,7,0.0,12,10,378.5758357543196,230.30234425260636,1.0,0.9892656500404646,0.0,0.0,0.0,0.0,0.0,794,20.247308061842528,0.2390343960077125,0.5377358051693133,0.02024166286915367,0.21662468513853905,0.2216624685138539,0.0,,688,0,0,688,0.8664987405541562,0.0,0.0,0.8664987405541562,outputs/tuning_lr1e4_prehard_nenv10_1p5m/runs/proposed_ppo_s1/config.json,outputs/tuning_lr1e4_prehard_nenv10_1p5m/runs/proposed_ppo_s1/model/checkpoint_750000_steps.zip
proposed,ppo,1,10601,7,0.0,13,10,428.6187717716681,237.8946202275433,1.0,0.9911234667981667,0.0,0.0,0.0,0.0,0.0,956,20.271089451591564,0.2836957787761003,0.6282579774565085,0.018020546702603776,0.2217573221757322,0.22384937238493724,0.0,,832,0,0,832,0.8702928870292888,0.0,0.0,0.8702928870292888,outputs/tuning_lr1e4_prehard_nenv10_1p5m/runs/proposed_ppo_s1/config.json,outputs/tuning_lr1e4_prehard_nenv10_1p5m/runs/proposed_ppo_s1/model/checkpoint_750000_steps.zip
proposed,ppo,1,10701,7,0.0,14,10,507.63911107691325,293.5633740048194,1.0,0.9918937528076465,0.0,0.0,0.0,0.0,0.0,1036,20.271922093113382,0.2065275819388619,0.5371064339006102,0.02175089663973808,0.22393822393822393,0.2277992277992278,0.0,,892,0,0,892,0.861003861003861,0.0,0.0,0.861003861003861,outputs/tuning_lr1e4_prehard_nenv10_1p5m/runs/proposed_ppo_s1/config.json,outputs/tuning_lr1e4_prehard_nenv10_1p5m/runs/proposed_ppo_s1/model/checkpoint_750000_steps.zip
proposed,ppo,1,10001,7,0.0,15,10,491.9726958248152,256.39112001353675,1.0,0.9928877588240241,0.0,0.0,0.0,0.0,0.0,1107,20.264713122370953,0.2842226402331154,0.707994384046439,0.02277178903202448,0.23306233062330622,0.23396567299006324,0.0,,951,0,0,951,0.8590785907859079,0.0,0.0,0.8590785907859079,outputs/tuning_lr1e4_prehard_nenv10_1p5m/runs/proposed_ppo_s1/config.json,outputs/tuning_lr1e4_prehard_nenv10_1p5m/runs/proposed_ppo_s1/model/checkpoint_750000_steps.zip
proposed,ppo,1,10801,7,0.0,16,10,544.4377047010086,317.0957169951393,1.0,0.9925536687064312,0.0,0.0,0.0,0.0,0.0,1085,20.267184899561908,0.18463682108441856,0.3672307405446983,0.020841902611275043,0.23225806451612904,0.23410138248847925,0.0,,938,0,0,938,0.864516129032258,0.0,0.0,0.864516129032258,outputs/tuning_lr1e4_prehard_nenv10_1p5m/runs/proposed_ppo_s1/config.json,outputs/tuning_lr1e4_prehard_nenv10_1p5m/runs/proposed_ppo_s1/model/checkpoint_750000_steps.zip
