variant,algo,seed,map_seed,map_config,density,episode,eval_n_envs,reward,shaped_reward,success,route_completion,collision,crash_vehicle,crash_object,out_of_road,cost,episode_length,mean_speed_kmh,mean_lane_deviation,max_lane_deviation,steering_variation,accel_variation,jerk,ttc_risk,min_ttc,shield_intervention,shield_soft,shield_hard,overspeed_guard,shield_intervention_rate,shield_soft_rate,shield_hard_rate,overspeed_guard_rate,source_config_json,source_model_path
proposed,ppo,0,10100,7,0.0,0,16,365.48249053976355,237.07002339721936,1.0,0.9889651887409625,0.0,0.0,0.0,0.0,0.0,887,18.277972037549098,0.2686925697829858,0.43441026066842003,0.02451944200998212,0.2322435174746336,0.2322435174746336,0.0,,768,0,0,768,0.8658399098083427,0.0,0.0,0.8658399098083427,outputs/tuning_proposed_defensive_h1500_cost50_nenv16_1m/runs/proposed_ppo_s0/config.json,outputs/tuning_proposed_defensive_h1500_cost50_nenv16_1m/runs/proposed_ppo_s0/model/final_model.zip
proposed,ppo,0,11100,7,0.0,1,16,388.82250030206336,249.65659292419997,1.0,0.991207482616597,0.0,0.0,0.0,0.0,0.0,932,18.27421135953558,0.2583643811989995,0.5310763548554434,0.021938568805024636,0.2317596566523605,0.2296137339055794,0.0,,807,0,0,807,0.8658798283261803,0.0,0.0,0.8658798283261803,outputs/tuning_proposed_defensive_h1500_cost50_nenv16_1m/runs/proposed_ppo_s0/config.json,outputs/tuning_proposed_defensive_h1500_cost50_nenv16_1m/runs/proposed_ppo_s0/model/final_model.zip
proposed,ppo,0,11400,7,0.0,2,16,387.0103843849821,239.58839620572712,1.0,0.9903333857295493,0.0,0.0,0.0,0.0,0.0,947,18.314436028977234,0.2820618526606629,0.7182282173631718,0.019284784301639452,0.21858500527983105,0.22069693769799367,0.0,,827,0,0,827,0.8732840549102429,0.0,0.0,0.8732840549102429,outputs/tuning_proposed_defensive_h1500_cost50_nenv16_1m/runs/proposed_ppo_s0/config.json,outputs/tuning_proposed_defensive_h1500_cost50_nenv16_1m/runs/proposed_ppo_s0/model/final_model.zip
proposed,ppo,0,10400,7,0.0,3,16,458.41709040446875,289.60855607747004,1.0,0.99054655597851,0.0,0.0,0.0,0.0,0.0,1033,18.33063718423129,0.20615743492173688,0.41533388948173594,0.020782187904275426,0.2207163601161665,0.22265246853823814,0.0,,903,0,0,903,0.8741529525653436,0.0,0.0,0.8741529525653436,outputs/tuning_proposed_defensive_h1500_cost50_nenv16_1m/runs/proposed_ppo_s0/config.json,outputs/tuning_proposed_defensive_h1500_cost50_nenv16_1m/runs/proposed_ppo_s0/model/final_model.zip
proposed,ppo,0,10000,7,0.0,4,16,433.852498168562,261.1925166585375,1.0,0.9911599496862777,0.0,0.0,0.0,0.0,0.0,1057,18.3290634484321,0.2700668649287331,0.5112928910488943,0.022923663067353876,0.22327341532639547,0.22327341532639547,0.0,,923,0,0,923,0.8732261116367077,0.0,0.0,0.8732261116367077,outputs/tuning_proposed_defensive_h1500_cost50_nenv16_1m/runs/proposed_ppo_s0/config.json,outputs/tuning_proposed_defensive_h1500_cost50_nenv16_1m/runs/proposed_ppo_s0/model/final_model.zip
proposed,ppo,0,10600,7,0.0,5,16,432.862105906249,261.09623245347757,1.0,0.9915738044989069,0.0,0.0,0.0,0.0,0.0,1058,18.327208925003365,0.27695765611827305,0.6360085253956598,0.018827143063177204,0.21928166351606806,0.22117202268431002,0.0,,926,0,0,926,0.8752362948960303,0.0,0.0,0.8752362948960303,outputs/tuning_proposed_defensive_h1500_cost50_nenv16_1m/runs/proposed_ppo_s0/config.json,outputs/tuning_proposed_defensive_h1500_cost50_nenv16_1m/runs/proposed_ppo_s0/model/final_model.zip
proposed,ppo,0,10500,7,0.0,6,16,441.2489321415082,252.46757011313161,1.0,0.9917658203206545,0.0,0.0,0.0,0.0,0.0,1105,18.270066121532206,0.2885289912323153,0.7145881113289447,0.02545516130291094,0.24434389140271492,0.24434389140271492,0.0,,950,0,0,950,0.8597285067873304,0.0,0.0,0.8597285067873304,outputs/tuning_proposed_defensive_h1500_cost50_nenv16_1m/runs/proposed_ppo_s0/config.json,outputs/tuning_proposed_defensive_h1500_cost50_nenv16_1m/runs/proposed_ppo_s0/model/final_model.zip
proposed,ppo,0,11300,7,0.0,7,16,417.3182271726141,215.66530447178076,1.0,0.9917874209336882,0.0,0.0,0.0,0.0,0.0,1120,18.299941659785077,0.34112961273041875,0.6784365040032893,0.025558654573978858,0.23660714285714285,0.24017857142857144,0.0,,967,0,0,967,0.8633928571428572,0.0,0.0,0.8633928571428572,outputs/tuning_proposed_defensive_h1500_cost50_nenv16_1m/runs/proposed_ppo_s0/config.json,outputs/tuning_proposed_defensive_h1500_cost50_nenv16_1m/runs/proposed_ppo_s0/model/final_model.zip
proposed,ppo,0,11200,7,0.0,8,16,490.8162362073475,293.78126432153795,1.0,0.9922131509003905,0.0,0.0,0.0,0.0,0.0,1162,18.315069238248608,0.2459632113061436,0.5573401871578793,0.020263541897393364,0.22719449225473323,0.2289156626506024,0.0,,1013,0,0,1013,0.8717728055077453,0.0,0.0,0.8717728055077453,outputs/tuning_proposed_defensive_h1500_cost50_nenv16_1m/runs/proposed_ppo_s0/config.json,outputs/tuning_proposed_defensive_h1500_cost50_nenv16_1m/runs/proposed_ppo_s0/model/final_model.zip
proposed,ppo,0,10700,7,0.0,9,16,511.450672806346,303.7156513675393,1.0,0.9914700239309395,0.0,0.0,0.0,0.0,0.0,1216,18.29856865887698,0.24906787601685573,0.5232510066856609,0.020395111382975683,0.23519736842105263,0.23519736842105263,0.0,,1056,0,0,1056,0.868421052631579,0.0,0.0,0.868421052631579,outputs/tuning_proposed_defensive_h1500_cost50_nenv16_1m/runs/proposed_ppo_s0/config.json,outputs/tuning_proposed_defensive_h1500_cost50_nenv16_1m/runs/proposed_ppo_s0/model/final_model.zip
