#{"t_start": 1782811266.942586, "env_id": "None"}
r,l,t,is_success,episode_cost,episode_base_reward,episode_shaped_reward,episode_collision,episode_crash_vehicle,episode_crash_object,episode_out_of_road,episode_route_completion,episode_length,episode_mean_speed,episode_mean_lane_deviation,episode_max_lane_deviation,episode_steering_variation,episode_accel_variation,episode_jerk,episode_ttc_risk,episode_min_ttc,shield_intervention,shield_soft,shield_hard,overspeed_guard,shield_intervention_rate,shield_soft_rate,shield_hard_rate,overspeed_guard_rate,curriculum_stage
-95.591534,600,4.266329,0.0,0.0,6.600203716447926,-95.59153403054427,0.0,0.0,0.0,0.0,0.09933873331113273,600,0.7415781130215215,0.1255654120548024,0.21347490267293412,0.7932000992509226,0.8119083286821842,0.635792346149683,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-99.020126,600,8.973488,0.0,0.0,5.79419896574127,-99.02012593156454,0.0,0.0,0.0,0.0,0.08672045481046325,600,0.7018039901014411,0.09530491047209896,0.39594869085975987,0.7961687963828444,0.8318893526867032,0.6849074467768271,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-90.040636,600,12.293325,0.0,0.0,8.078708802516266,-90.04063554470797,0.0,0.0,0.0,0.0,0.12175415176755555,600,0.8036449543837464,0.0983071613361522,0.18040518301194625,0.8295903353703519,0.7890565229083101,0.6415734778592984,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-102.325567,600,16.933704,0.0,0.0,7.065150724743924,-102.32556677280088,0.0,0.0,0.0,0.0,0.1061003251499685,600,0.8200732126048434,0.17144513946191908,0.4060559881717298,0.8067744760215283,0.8445071595162154,0.6054013466338316,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-164.395124,600,20.174482,0.0,0.0,6.350059508022085,-164.39512389176988,0.0,0.0,0.0,0.0,0.15182325920727238,600,0.9384002460054848,0.4335996711184966,0.9973971438646974,0.7871413927897811,0.7792574487005671,0.626298506235083,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-84.188392,600,24.779961,0.0,0.0,10.685240854993214,-84.18839161738079,0.0,0.0,0.0,0.0,0.13146998809326327,600,1.0050110550577511,0.09692236910747978,0.22841722327578184,0.7922963297367096,0.7870881607507666,0.6245546501626571,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-88.990781,600,29.414152,0.0,0.0,9.046584242972058,-88.99078080453594,0.0,0.0,0.0,0.0,0.11983912062267195,600,0.884037184204386,0.10626589438420511,0.19770625773951708,0.8375671825309594,0.8046578018367291,0.622499969303608,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-216.685766,600,32.752558,0.0,0.0,5.9875554945473475,-216.68576606669606,0.0,0.0,0.0,0.0,0.1279208753853858,600,0.961633852996283,0.6064063218550366,0.9989596898856437,0.8497290638616929,0.7588218048463266,0.6143679138521353,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-181.716345,600,37.283515,0.0,0.0,6.632776379317655,-181.71634508811752,0.0,0.0,0.0,0.0,0.1771564965790733,600,0.9933301729810228,0.4963560622374525,0.9399662565735899,0.8110988698092599,0.7700792358691494,0.6009321243315935,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-172.065196,600,40.763611,0.0,0.0,7.873077657691812,-172.06519550325513,0.0,0.0,0.0,0.0,0.1629797145054501,600,1.22793493868927,0.48248759259932184,0.9996385922811407,0.7851269150463244,0.7856101293613513,0.6218884641428789,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-69.420956,600,45.409303,0.0,0.0,16.54229011231457,-69.42095573878474,0.0,0.0,0.0,0.0,0.19520538935627318,600,1.292036918946848,0.10405175297477844,0.20753105660462456,0.8125573310690621,0.72691690556705,0.5861988475422064,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-134.851264,600,50.225212,0.0,0.0,12.354567149351249,-134.8512637307369,0.0,0.0,0.0,0.0,0.24089092547214747,600,1.356131425117355,0.38912986175420106,0.9884047410547412,0.8193267145132025,0.7325591790179412,0.557656278014183,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-290.516875,361,52.317168,0.0,1.0,-5.584655431782096,-290.5168746886027,0.0,0.0,0.0,1.0,0.14037084669555042,361,1.3836590493378693,0.581732097473572,1.0339248418854508,0.8711869021944723,0.7570313492640234,0.594611178804963,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-86.190359,600,55.943694,0.0,0.0,17.7251833214147,-86.19035914811961,0.0,0.0,0.0,0.0,0.27394814215521834,600,1.522964808847729,0.2194444765139994,0.6425728077984053,0.8020741997659206,0.722715668057402,0.5871022272606691,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-263.557607,600,60.80643,0.0,0.0,10.386218342238578,-263.5576070180717,0.0,0.0,0.0,0.0,0.236014498759368,600,1.5955274966623678,0.7200961655418302,1.5235258696032168,0.8010904930531979,0.7062794060011705,0.5946995354692142,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-134.842495,600,65.638559,0.0,0.0,6.302970219858174,-134.8424953695783,0.0,0.0,0.0,0.0,0.23227680677421994,600,1.4890028409598413,0.4605289690551419,0.6856128263651818,0.8195626783122619,0.6806475394964218,0.5745727550486723,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-78.785081,600,69.185075,0.0,0.0,20.439706333153538,-78.78508079661445,0.0,0.0,0.0,0.0,0.3706869374111552,600,1.9355903559306677,0.32478591517697347,0.5955193725450022,0.7832155118696391,0.690022704427441,0.5544842860599359,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-106.991318,600,74.098866,0.0,0.0,18.724501962864828,-106.99131778401012,0.0,0.0,0.0,0.0,0.27602325860526616,600,1.860248461198532,0.35964026642467173,0.9832070177406546,0.8124822748887042,0.6884394827485084,0.5450683476527532,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-807.824835,600,77.627512,0.0,0.0,6.698460225347629,-807.8248349745854,0.0,0.0,0.0,0.0,0.3760789949306285,600,2.114492563063658,1.3774585533985364,2.0,0.805293016905586,0.6504828078548114,0.5588954188426336,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-63.671666,600,82.483361,0.0,0.0,25.348796437879205,-63.6716662858041,0.0,0.0,0.0,0.0,0.28086106928290727,600,2.073163259826741,0.24972630293962303,0.49337165138904787,0.7834773435878257,0.6954809215913216,0.5559061754743259,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-55.691978,600,87.256274,0.0,0.0,23.12156086014037,-55.69197797152419,0.0,0.0,0.0,0.0,0.32982257408111276,600,1.7792846557997022,0.15803103249005793,0.39748436958708766,0.7966373860773941,0.6497294649978479,0.5347415579358736,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-97.442574,600,90.908494,0.0,0.0,28.028174046718586,-97.44257397898149,0.0,0.0,0.0,0.0,0.34122202940488233,600,2.3965173510692366,0.36213575865627246,0.8895698045842853,0.7802040299152334,0.6491133646667003,0.5536443223555882,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
