#{"t_start": 1782812499.618958, "env_id": "None"}
r,l,t,is_success,episode_cost,episode_base_reward,episode_shaped_reward,episode_collision,episode_crash_vehicle,episode_crash_object,episode_out_of_road,episode_route_completion,episode_length,episode_mean_speed,episode_mean_lane_deviation,episode_max_lane_deviation,episode_steering_variation,episode_accel_variation,episode_jerk,episode_ttc_risk,episode_min_ttc,shield_intervention,shield_soft,shield_hard,overspeed_guard,shield_intervention_rate,shield_soft_rate,shield_hard_rate,overspeed_guard_rate,curriculum_stage
-98.547537,600,4.089913,0.0,0.0,7.424786268686427,-98.54753722166667,0.0,0.0,0.0,0.0,0.09718303782616296,600,0.6953843436419906,0.09556460101860959,0.2424569552096315,0.8094645836002504,0.8134760506264865,0.6011740936214726,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-116.245174,600,8.7081,0.0,0.0,5.6168891702595145,-116.24517386793028,0.0,0.0,0.0,0.0,0.09439539697725502,600,0.7244509802636936,0.1670958976716262,0.35893660769735947,0.8304164364126821,0.8321141750613849,0.6463283262153466,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-102.404703,600,11.911683,0.0,0.0,7.137421519705136,-102.40470325683079,0.0,0.0,0.0,0.0,0.10140034290970865,600,0.7214233508725447,0.11253373859734694,0.2379660114568803,0.8391180379875004,0.8193797060971458,0.6869290164858103,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-321.587585,600,16.537826,0.0,0.0,4.312634413273119,-321.58758470665225,0.0,0.0,0.0,0.0,0.12150253533125922,600,0.753150786217915,0.5005148749461008,0.9969176115739842,0.773731549953421,0.8073170258228978,0.6373861607412498,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-91.769381,600,19.825154,0.0,0.0,7.405227942692841,-91.76938136970742,0.0,0.0,0.0,0.0,0.10288221614989386,600,0.7552958034438456,0.05341192389225446,0.13374762098578374,0.8349693575873971,0.8187386890997489,0.6100992573300997,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-183.924077,600,24.42575,0.0,0.0,6.793035135402078,-183.92407681994328,0.0,0.0,0.0,0.0,0.12184005222001763,600,0.8263882855096322,0.35174320720703617,0.5973324261448812,0.8434481784328818,0.785076903825005,0.6065546944737434,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-92.487267,600,28.555759,0.0,0.0,9.47996488430929,-92.48726676149852,0.0,0.0,0.0,0.0,0.13279436977121165,600,0.884599820154026,0.1061751037207622,0.2334539387735605,0.8371237280778587,0.8117507300029199,0.6194254133105278,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-97.197955,600,30.791825,0.0,0.0,7.731062956143677,-97.19795533557115,0.0,0.0,0.0,0.0,0.12099497871943021,600,0.7914134954015111,0.09562160834295044,0.2601966456068862,0.8509791358994941,0.8097236921017369,0.621902068828543,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-175.381893,600,35.326135,0.0,0.0,6.77904277640405,-175.38189280391364,0.0,0.0,0.0,0.0,0.11962210668583899,600,0.8082266193400747,0.27262392811901426,0.7981672337524283,0.805128342465808,0.8219459944342573,0.6626651168366273,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-314.321254,600,38.421322,0.0,0.0,5.08681820004497,-314.3212540558414,0.0,0.0,0.0,0.0,0.1295472747500813,600,0.8658003098307512,0.5390443864747066,0.9592824307336323,0.7848317541492482,0.8455156584953268,0.6234795949608087,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
