variant,algo,seed,map_seed,map_config,density,episode,eval_n_envs,reward,shaped_reward,success,route_completion,collision,crash_vehicle,crash_object,out_of_road,cost,episode_length,mean_speed_kmh,mean_lane_deviation,max_lane_deviation,steering_variation,accel_variation,jerk,ttc_risk,min_ttc,shield_intervention,shield_soft,shield_hard,overspeed_guard,shield_intervention_rate,shield_soft_rate,shield_hard_rate,overspeed_guard_rate,source_config_json,source_model_path
proposed,ppo,0,11000,7,0.0,0,16,389.17101078717536,278.57720201698106,1.0,0.9889627051451289,0.0,0.0,0.0,0.0,0.0,809,18.254785424258063,0.14273604594222325,0.25506130345779965,0.021432731687108558,0.2249690976514215,0.22744128553770088,0.0,,698,0,0,698,0.8627935723114957,0.0,0.0,0.8627935723114957,outputs/tuning_proposed_light_risk_ttc3_cost25_lane03_nenv16_seed0_1m/runs/proposed_ppo_s0/config.json,outputs/tuning_proposed_light_risk_ttc3_cost25_lane03_nenv16_seed0_1m/runs/proposed_ppo_s0/model/final_model.zip
proposed,ppo,0,11100,7,0.0,1,16,401.72339169922446,281.992716515995,1.0,0.9884873833700349,0.0,0.0,0.0,0.0,0.0,863,18.227771522335335,0.16857181033425545,0.35314779516034883,0.022297431194133892,0.2421784472769409,0.2421784472769409,0.0,,740,0,0,740,0.8574739281575898,0.0,0.0,0.8574739281575898,outputs/tuning_proposed_light_risk_ttc3_cost25_lane03_nenv16_seed0_1m/runs/proposed_ppo_s0/config.json,outputs/tuning_proposed_light_risk_ttc3_cost25_lane03_nenv16_seed0_1m/runs/proposed_ppo_s0/model/final_model.zip
proposed,ppo,0,10000,7,0.0,2,16,364.38448457245835,243.43385335523587,1.0,0.9899409863399937,0.0,0.0,0.0,0.0,0.0,901,18.30251659903953,0.2912799760082555,0.7557467148670842,0.021756379043871534,0.2241953385127636,0.2241953385127636,0.0,,784,0,0,784,0.8701442841287459,0.0,0.0,0.8701442841287459,outputs/tuning_proposed_light_risk_ttc3_cost25_lane03_nenv16_seed0_1m/runs/proposed_ppo_s0/config.json,outputs/tuning_proposed_light_risk_ttc3_cost25_lane03_nenv16_seed0_1m/runs/proposed_ppo_s0/model/final_model.zip
proposed,ppo,0,10900,7,0.0,3,16,389.25166718754514,266.09006533268854,1.0,0.9897740630428122,0.0,0.0,0.0,0.0,0.0,907,18.275813730040195,0.23835012669807112,0.5111100952416593,0.021222633788672243,0.22932745314222713,0.23153252480705622,0.0,,786,0,0,786,0.8665931642778391,0.0,0.0,0.8665931642778391,outputs/tuning_proposed_light_risk_ttc3_cost25_lane03_nenv16_seed0_1m/runs/proposed_ppo_s0/config.json,outputs/tuning_proposed_light_risk_ttc3_cost25_lane03_nenv16_seed0_1m/runs/proposed_ppo_s0/model/final_model.zip
proposed,ppo,0,11300,7,0.0,4,16,454.0159882311492,311.15784352503465,1.0,0.9876756285676711,0.0,0.0,0.0,0.0,0.0,929,18.256333861615698,0.1206158367108233,0.25672242249535543,0.02092645805821813,0.23681377825618946,0.23896663078579117,0.0,,801,0,0,801,0.8622174381054898,0.0,0.0,0.8622174381054898,outputs/tuning_proposed_light_risk_ttc3_cost25_lane03_nenv16_seed0_1m/runs/proposed_ppo_s0/config.json,outputs/tuning_proposed_light_risk_ttc3_cost25_lane03_nenv16_seed0_1m/runs/proposed_ppo_s0/model/final_model.zip
proposed,ppo,0,10100,7,0.0,5,16,423.1322455610888,286.9460662784169,1.0,0.9930984318441889,0.0,0.0,0.0,0.0,0.0,952,18.271805867662543,0.20827589048563383,0.44277133123418,0.027165456432135023,0.23739495798319327,0.24369747899159663,0.0,,816,0,0,816,0.8571428571428571,0.0,0.0,0.8571428571428571,outputs/tuning_proposed_light_risk_ttc3_cost25_lane03_nenv16_seed0_1m/runs/proposed_ppo_s0/config.json,outputs/tuning_proposed_light_risk_ttc3_cost25_lane03_nenv16_seed0_1m/runs/proposed_ppo_s0/model/final_model.zip
proposed,ppo,0,10800,7,0.0,6,16,451.1757167403842,304.73194613706966,1.0,0.990453857629919,0.0,0.0,0.0,0.0,0.0,980,18.323907391624264,0.1773292318310655,0.3292865886688763,0.018668195557523973,0.2163265306122449,0.21836734693877552,0.0,,858,0,0,858,0.8755102040816326,0.0,0.0,0.8755102040816326,outputs/tuning_proposed_light_risk_ttc3_cost25_lane03_nenv16_seed0_1m/runs/proposed_ppo_s0/config.json,outputs/tuning_proposed_light_risk_ttc3_cost25_lane03_nenv16_seed0_1m/runs/proposed_ppo_s0/model/final_model.zip
proposed,ppo,0,10400,7,0.0,7,16,465.31835661728076,308.84035739019293,1.0,0.9909092449996245,0.0,0.0,0.0,0.0,0.0,1030,18.23540695084696,0.18502885726751503,0.5959111239609525,0.025345079931746988,0.2446601941747573,0.24660194174757283,0.0,,876,0,0,876,0.8504854368932039,0.0,0.0,0.8504854368932039,outputs/tuning_proposed_light_risk_ttc3_cost25_lane03_nenv16_seed0_1m/runs/proposed_ppo_s0/config.json,outputs/tuning_proposed_light_risk_ttc3_cost25_lane03_nenv16_seed0_1m/runs/proposed_ppo_s0/model/final_model.zip
proposed,ppo,0,10200,7,0.0,8,16,485.125936332707,320.04252149333627,1.0,0.991212171676679,0.0,0.0,0.0,0.0,0.0,1049,18.30410154494267,0.17045967420332672,0.41793102659023457,0.021813059243323853,0.22878932316491898,0.22783603431839847,0.0,,912,0,0,912,0.8693994280266921,0.0,0.0,0.8693994280266921,outputs/tuning_proposed_light_risk_ttc3_cost25_lane03_nenv16_seed0_1m/runs/proposed_ppo_s0/config.json,outputs/tuning_proposed_light_risk_ttc3_cost25_lane03_nenv16_seed0_1m/runs/proposed_ppo_s0/model/final_model.zip
proposed,ppo,0,10600,7,0.0,9,16,509.3023420326766,331.4870978226906,1.0,0.990705659442997,0.0,0.0,0.0,0.0,0.0,1120,18.291845214296828,0.18232585237042706,0.2574497685681569,0.01940044647209496,0.23214285714285715,0.23392857142857143,0.0,,973,0,0,973,0.86875,0.0,0.0,0.86875,outputs/tuning_proposed_light_risk_ttc3_cost25_lane03_nenv16_seed0_1m/runs/proposed_ppo_s0/config.json,outputs/tuning_proposed_light_risk_ttc3_cost25_lane03_nenv16_seed0_1m/runs/proposed_ppo_s0/model/final_model.zip
