#{"t_start": 1782759363.08444, "env_id": "None"}
r,l,t,is_success,episode_cost,episode_base_reward,episode_shaped_reward,episode_collision,episode_crash_vehicle,episode_crash_object,episode_out_of_road,episode_route_completion,episode_length,episode_mean_speed,episode_mean_lane_deviation,episode_max_lane_deviation,episode_steering_variation,episode_accel_variation,episode_jerk,episode_ttc_risk,episode_min_ttc,shield_intervention,shield_soft,shield_hard,overspeed_guard,shield_intervention_rate,shield_soft_rate,shield_hard_rate,overspeed_guard_rate,curriculum_stage
-103.889015,600,2.463578,0.0,0.0,4.224305459229565,-103.88901547369261,0.0,0.0,0.0,0.0,0.0712220267034076,600,0.5743506276201906,0.12184785247396522,0.2217427237006187,0.8399343196426828,0.8732697831590971,0.6444165275990963,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-96.668498,600,4.780284,0.0,0.0,6.575320827424347,-96.66849807145063,0.0,0.0,0.0,0.0,0.10106895411995231,600,0.6919230830485394,0.09003443587923611,0.2626226629019634,0.7910076102179786,0.8049014151096344,0.6413103942573071,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-179.24065,600,6.258096,0.0,0.0,5.851366013587718,-179.2406496120074,0.0,0.0,0.0,0.0,0.14509026768046596,600,0.8421959473533278,0.4570715404141951,0.9725012605265193,0.8474960295266162,0.8085374652842681,0.6449847580244144,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-96.153105,600,8.605523,0.0,0.0,10.111237212410058,-96.15310522448371,0.0,0.0,0.0,0.0,0.1552283466904253,600,1.1755353002768467,0.15563631331978506,0.7360771686544306,0.8012721586599946,0.7669811853021383,0.6249334726234277,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-87.813667,600,10.196594,0.0,0.0,11.23082683798253,-87.81366734854372,0.0,0.0,0.0,0.0,0.15351321603188886,600,0.9776527798911365,0.1308045673216395,0.27101501442046666,0.7804289297821622,0.8046005423118671,0.6313607934614023,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-183.060137,600,12.445721,0.0,0.0,9.409233036678241,-183.06013713310753,0.0,0.0,0.0,0.0,0.18540734427459565,600,1.3549880542143813,0.5139873329814268,0.9998132068114027,0.810526861573259,0.728820737550656,0.5738947717348735,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-117.708863,600,14.837278,0.0,0.0,9.019622621412159,-117.70886327661347,0.0,0.0,0.0,0.0,0.15700042927005745,600,0.9968069318933778,0.2644689270200678,0.7593045095493943,0.7771687553543597,0.7628440606718262,0.5739399887869755,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-85.237058,600,16.437198,0.0,0.0,12.646744945213687,-85.23705778858326,0.0,0.0,0.0,0.0,0.17022914379763962,600,1.0392713785633192,0.13463695886180851,0.33769034135929027,0.8221889036769668,0.754587406416734,0.5963330580294133,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-227.433725,439,18.347695,0.0,1.0,-6.664619273750429,-227.43372542956735,0.0,0.0,0.0,1.0,0.1548583668141195,439,0.9631400192746509,0.4294055999280543,1.0285430978947743,0.8443434134651833,0.7649013605096074,0.6276969061082479,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-176.91209,600,19.962584,0.0,0.0,9.181896979690597,-176.91209017449663,0.0,0.0,0.0,0.0,0.22147013823989525,600,1.3177990536165873,0.5283391336955308,0.8512444397860683,0.8349590539000928,0.735034043515722,0.6219701472918192,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-222.954347,580,22.247081,0.0,1.0,3.1344479193508654,-222.95434717590547,0.0,0.0,0.0,1.0,0.22273718179638866,580,1.390271191627951,0.2764042762591528,1.0295163333308144,0.8387265886212217,0.6891947496553947,0.5688363491975028,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-239.31084,489,23.630777,0.0,1.0,-0.2881648959460552,-239.3108399057746,0.0,0.0,0.0,1.0,0.23131627547761502,489,1.6582530561831679,0.5061877095641453,1.0282434425439373,0.8839111722518208,0.6870132898016698,0.5546098841479951,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-65.586365,600,26.166521,0.0,0.0,22.609306833153344,-65.5863652407298,0.0,0.0,0.0,0.0,0.23621912817400925,600,1.7165430707175175,0.14733725068142442,0.5188409453025291,0.8060698525980114,0.7341120743254821,0.5668154189984004,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-167.322116,600,27.855932,0.0,0.0,13.565539242066532,-167.32211599153217,0.0,0.0,0.0,0.0,0.257237864234419,600,1.7326006200977315,0.5408062612728001,0.9890107425411919,0.7724683615441124,0.669244784216086,0.5529969916741053,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-107.413244,600,30.364331,0.0,0.0,14.661257939672682,-107.41324417530278,0.0,0.0,0.0,0.0,0.20922369456316967,600,1.4979272926937859,0.28153758244201044,0.9962432090151919,0.772772076477607,0.7261591946085294,0.6045277248819669,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-952.933089,600,32.92028,0.0,0.0,5.18658677174001,-952.9330893081512,0.0,0.0,0.0,0.0,0.3193861639367929,600,1.8256062974037683,1.5593593226041265,2.0,0.8400081268201272,0.6716640452047189,0.5440876697997252,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-75.272289,600,34.753206,0.0,0.0,23.337868297577028,-75.27228853308978,0.0,0.0,0.0,0.0,0.3695232602144869,600,2.6366376829698854,0.3209850796498892,0.6813865740042289,0.7698116760576764,0.6364218291640281,0.5030587463577588,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-120.903068,600,37.409245,0.0,0.0,18.31950268453956,-120.9030682414335,0.0,0.0,0.0,0.0,0.3496892921245681,600,1.9510165722720167,0.41298939021755543,0.9913409334881574,0.8119317891076208,0.6683709863821665,0.5477245722214381,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-120.325544,66,37.590778,0.0,1.0,-7.611771889542431,-120.32554447745923,0.0,0.0,0.0,1.0,0.11392721682519824,66,3.3639116225270054,0.5620945815519188,1.0248208946554311,0.6636363075989665,0.6186774201465376,0.5213134812586235,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-216.684717,445,38.986166,0.0,1.0,1.1669776684705795,-216.68471732165523,0.0,0.0,0.0,1.0,0.23083039389063664,445,2.0535889625852053,0.47802041339598195,1.0674212182292013,0.7509304014484534,0.6586901209997327,0.5298984594559402,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-207.853929,462,41.170427,0.0,1.0,0.9148703372343441,-207.8539294622631,0.0,0.0,0.0,1.0,0.22828947700271252,462,1.8111372895157258,0.3913792619088129,1.0360151212385476,0.8062030745315409,0.665044958715315,0.5493781770462598,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-130.459875,117,41.505696,0.0,1.0,-5.307648157216744,-130.4598745801694,0.0,0.0,0.0,1.0,0.1166875943588354,117,2.7529325670602796,0.40698181482415396,1.0424616613803626,0.8080267367454675,0.5786742073857886,0.5054445552010821,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-191.985542,288,42.488777,0.0,1.0,-6.103879995905294,-191.98554181691776,0.0,0.0,0.0,1.0,0.1965588752647118,288,1.7728066359541783,0.5697745991027877,1.0427923834087047,0.754677659081709,0.6415151852286525,0.5822481014248397,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-149.170492,600,45.033253,0.0,0.0,16.56058709011009,-149.1704919162791,0.0,0.0,0.0,0.0,0.3972523029012286,600,2.1873339004021775,0.5428623600646818,0.9974287417175977,0.7883577145387729,0.6537918449938297,0.5383906335632006,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-73.025191,600,46.976249,0.0,0.0,26.922320158750477,-73.02519132714089,0.0,0.0,0.0,0.0,0.32408031253279396,600,2.252855674851365,0.2291350740882835,0.6911410330541068,0.8068177124982079,0.6043127731482187,0.5070945210258166,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-116.92846,600,49.482785,0.0,0.0,22.855825450628608,-116.92846032933416,0.0,0.0,0.0,0.0,0.41735923904673883,600,2.324108754569931,0.4267813962418809,0.991779456276925,0.7555762816344699,0.6475755824645361,0.5439956255753835,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-319.041584,600,51.255654,0.0,0.0,11.807023715823206,-319.0415837021868,0.0,0.0,0.0,0.0,0.26734435001683593,600,2.090697553040902,0.7922904326745329,2.0,0.7826141277824838,0.6459905545413495,0.5387848580876986,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-72.70023,600,53.850554,0.0,0.0,29.84004034584011,-72.70023003278577,0.0,0.0,0.0,0.0,0.3587526631992916,600,2.5682016098520473,0.3034939574357873,0.9570400820004958,0.7559199465004106,0.6365043772260348,0.5151614231864611,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-136.432683,600,56.325838,0.0,0.0,18.08381646487262,-136.43268264198682,0.0,0.0,0.0,0.0,0.2653141069846701,600,1.918728984020507,0.4340091757935652,0.9541898361862602,0.7998234069533646,0.6634548799196879,0.571525365114212,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-105.986398,600,58.056251,0.0,0.0,27.44937318266697,-105.98639844599427,0.0,0.0,0.0,0.0,0.5020336466272883,600,2.75852667532244,0.4498004653808587,0.998704424744873,0.7783080701157451,0.5864730233450731,0.5077024250725906,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-76.114377,600,60.539045,0.0,0.0,24.48778915960374,-76.11437675844881,0.0,0.0,0.0,0.0,0.3432575738119486,600,2.208286530043113,0.30720869771896936,0.6216945133567326,0.8070628969992201,0.6118970275421938,0.5026090454061826,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-77.306524,600,62.318109,0.0,0.0,28.66849016601405,-77.30652436517428,0.0,0.0,0.0,0.0,0.3523805152652971,600,2.35129449777883,0.27531954937987146,0.756098730124538,0.8113838565846284,0.6149361875653266,0.5233392729361852,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-103.432339,600,64.903205,0.0,0.0,29.71446689801221,-103.43233869221031,0.0,0.0,0.0,0.0,0.5165266765618822,600,3.4248294961673142,0.49877157905604413,0.9979562787944627,0.7404209601320326,0.5714563348889351,0.4998828533291817,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
