#{"t_start": 1782763240.3046858, "env_id": "None"}
r,l,t,is_success,episode_cost,episode_base_reward,episode_shaped_reward,episode_collision,episode_crash_vehicle,episode_crash_object,episode_out_of_road,episode_route_completion,episode_length,episode_mean_speed,episode_mean_lane_deviation,episode_max_lane_deviation,episode_steering_variation,episode_accel_variation,episode_jerk,episode_ttc_risk,episode_min_ttc,shield_intervention,shield_soft,shield_hard,overspeed_guard,shield_intervention_rate,shield_soft_rate,shield_hard_rate,overspeed_guard_rate,curriculum_stage
-107.813672,600,2.44106,0.0,0.0,5.165514789225412,-107.81367155478051,0.0,0.0,0.0,0.0,0.101101414867072,600,0.6860453179186368,0.19830712286646193,0.385866852689919,0.8106165012965599,0.8015332254581153,0.6240529063964884,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-94.509682,600,4.875378,0.0,0.0,6.537566979499744,-94.50968213165125,0.0,0.0,0.0,0.0,0.11587763558866179,600,0.6921724058971314,0.0671291741329521,0.18573659891966413,0.8135259147298832,0.8137502346560359,0.6136718400071065,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-96.316425,600,6.365086,0.0,0.0,7.3203291059584545,-96.31642456346819,0.0,0.0,0.0,0.0,0.13934915099213502,600,0.7757572845820649,0.15897812372957787,0.28780393395601367,0.7755099546040097,0.7802724691356222,0.6266522146016359,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-91.11709,600,8.674415,0.0,0.0,9.023215677670525,-91.1170900370739,0.0,0.0,0.0,0.0,0.11058755742139526,600,0.8702476108091655,0.0721980067937416,0.23330754627088787,0.8365931838067869,0.7995380717640121,0.6479195222010216,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-88.455933,600,10.198526,0.0,0.0,9.143289416617007,-88.45593286846318,0.0,0.0,0.0,0.0,0.11233336557271989,600,0.9034048962725908,0.06891217928352718,0.12449040250813384,0.8104476764425635,0.8419306652247905,0.6512870765477419,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-261.512997,492,12.242455,0.0,1.0,-6.3270916454716115,-261.51299673383915,0.0,0.0,0.0,1.0,0.14232569763760586,492,1.1533544230529256,0.5445741024416301,1.033497092088209,0.8130180031379185,0.724415306410775,0.5687660589753613,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-125.878887,600,13.807967,0.0,0.0,9.524405107583865,-125.87888681898295,0.0,0.0,0.0,0.0,0.1814452258864092,600,1.1346881463914271,0.3504694455711238,0.7890377041616772,0.7919727313860009,0.7521426583329837,0.6039256263772647,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-190.926302,600,16.242725,0.0,0.0,6.278552829490898,-190.92630226724324,0.0,0.0,0.0,0.0,0.1710617667342363,600,1.0399304997340602,0.518426335968108,0.9999515618278515,0.8710969299823046,0.7677959970881542,0.5948069547613462,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-142.337405,600,18.666779,0.0,0.0,10.25358301292741,-142.3374050820938,0.0,0.0,0.0,0.0,0.1959584105958391,600,1.242692203156278,0.3703865508250974,0.9994198871997011,0.8061151709283392,0.7527483357737462,0.6086301861703396,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-88.309891,600,20.344443,0.0,0.0,10.308649118625425,-88.30989061191474,0.0,0.0,0.0,0.0,0.15302327549243325,600,0.9649735048209319,0.12032684533982878,0.30471720183270945,0.833665226486822,0.765013846680522,0.6176129376391569,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-158.70358,600,22.816913,0.0,0.0,6.851135146920614,-158.7035804046758,0.0,0.0,0.0,0.0,0.1624680819991077,600,0.966225713868642,0.37437956534080175,0.958487154930375,0.8565726678663244,0.8303975223749877,0.6414555505414804,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-154.813941,600,24.622971,0.0,0.0,7.151247640028281,-154.81394055703834,0.0,0.0,0.0,0.0,0.16439365492469132,600,0.9592338667428237,0.42045520108757445,0.7232889056749523,0.8090119839583834,0.7699638031423092,0.633195561269919,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-122.543072,600,27.060572,0.0,0.0,10.222784192408781,-122.54307212535501,0.0,0.0,0.0,0.0,0.18620875770388343,600,1.1407890082987118,0.3184151637688426,0.996410183034047,0.7650695064291358,0.7830364894370238,0.6103426514565945,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-143.119542,600,29.563452,0.0,0.0,9.591166380701626,-143.11954187480302,0.0,0.0,0.0,0.0,0.18362442993498307,600,1.2239663597409416,0.39025184587577993,0.992572324139489,0.8207261506281793,0.7992158249765634,0.6442997070650259,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-202.248428,600,31.241928,0.0,0.0,8.726680775998043,-202.24842793319547,0.0,0.0,0.0,0.0,0.18747042237704797,600,1.220687968839633,0.5366546451643798,1.2841536594323717,0.7779403220986326,0.7882126510391633,0.632196543465058,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-86.595238,600,33.676249,0.0,0.0,14.287925589457942,-86.59523825059108,0.0,0.0,0.0,0.0,0.19445947545574752,600,1.1980771944007678,0.18554772831178026,0.46709877880171796,0.8453027936816215,0.7641441317896048,0.5999619607130686,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-113.619623,600,35.45888,0.0,0.0,14.144278130385917,-113.61962323642126,0.0,0.0,0.0,0.0,0.22049980652750956,600,1.3591773255961093,0.26338909497767327,0.9997724623557634,0.8267630746339758,0.7489584080626567,0.5911488815645377,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-295.803781,564,37.871484,0.0,1.0,-5.325320487351429,-295.8037811589258,0.0,0.0,0.0,1.0,0.17202819695433164,564,1.01392557630549,0.5364958709440455,1.0232106000698267,0.8304164606238986,0.8446145426508382,0.6327596631244565,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-113.759584,600,39.580228,0.0,0.0,12.041359860133642,-113.75958414761153,0.0,0.0,0.0,0.0,0.18138820525913402,600,1.1587240801534024,0.2559729294004716,0.8074452780782462,0.830870516380916,0.7603752160072327,0.6054915128151576,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-103.786161,600,42.166171,0.0,0.0,10.99123046934568,-103.78616072324863,0.0,0.0,0.0,0.0,0.16747150186259477,600,1.061710577023484,0.22579345618499752,0.7412394855730166,0.853156379510959,0.7983935880164306,0.637957112689813,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-439.488462,600,44.61969,0.0,0.0,7.511652758072074,-439.48846227650034,0.0,0.0,0.0,0.0,0.16466580428596717,600,1.2887559205545067,0.8767875401647419,2.0,0.8059504178601007,0.7833236007889112,0.586864606142044,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-235.08352,457,46.011045,0.0,1.0,-3.980492382571076,-235.0835204981403,0.0,0.0,0.0,1.0,0.15746390267609991,457,1.3685309560687213,0.4856248883059613,1.028388209413754,0.8170064352941853,0.7748786543273821,0.5696907833185968,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-81.934284,600,48.548082,0.0,0.0,15.75005076674869,-81.93428428210144,0.0,0.0,0.0,0.0,0.2256474360206327,600,1.34424695930169,0.16713047117522192,0.41315933106537384,0.8398854361660778,0.7492669709523518,0.6073627750078837,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-83.4751,600,50.242409,0.0,0.0,12.366947961011416,-83.47510037373618,0.0,0.0,0.0,0.0,0.15411406234158292,600,1.0976768576120357,0.12829834607328772,0.2888342865537544,0.8166951870856186,0.8248096775511901,0.6005850359300773,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-159.480684,600,52.653716,0.0,0.0,8.12058325481956,-159.48068386495254,0.0,0.0,0.0,0.0,0.16145409993342966,600,1.1988557996196436,0.4274489183214649,0.9976919932161136,0.8338092699274421,0.7732761955012878,0.5934231075147788,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-78.95521,600,54.47865,0.0,0.0,14.06550503168147,-78.95521048624786,0.0,0.0,0.0,0.0,0.16417377451265552,600,1.1511319485540554,0.08718602381717382,0.3110348143301599,0.8206472474336625,0.7879178967575232,0.574971619695425,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-195.719714,374,56.344651,0.0,1.0,-4.277027117774872,-195.71971392424297,0.0,0.0,0.0,1.0,0.12624433433375384,374,1.3701074186866766,0.3907232099521868,1.0414198854163672,0.8490536573696583,0.7006235154156379,0.6074836377632171,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
