density,method,episodes,success_pct,cost_pct,route_completion_pct,collision_pct,out_of_road_pct,low_progress_pct,mean_speed_kmh,ttc_dangerous_pct,interventions_per_100_steps
0.08,PPO,120,0.0,100.0,25.789,43.333,56.667,42.5,44.455,55.524,0.0
0.08,Risk-only,120,0.0,0.0,0.899,0.0,0.0,100.0,0.013,0.0,0.0
0.08,No-action guard,120,2.5,97.5,28.662,35.833,61.667,43.333,39.506,40.415,0.0
0.08,Guard,120,85.0,5.0,96.784,2.5,2.5,0.0,17.968,13.809,84.512
0.08,Shield,120,83.333,6.667,96.482,6.667,0.0,0.0,17.979,10.294,84.686
0.08,Gated-risk,120,85.0,4.167,96.882,4.167,0.0,0.0,17.937,13.425,84.164
0.15,PPO,120,0.0,100.0,20.746,63.333,36.667,57.5,41.053,60.353,0.0
0.15,Risk-only,120,0.0,0.0,0.899,0.0,0.0,100.0,0.013,0.0,0.0
0.15,No-action guard,120,0.833,100.0,21.726,53.333,46.667,55.833,36.832,48.687,0.0
0.15,Guard,120,59.167,20.833,86.382,18.333,2.5,0.0,15.802,11.818,69.646
0.15,Shield,120,62.5,19.167,85.687,15.833,3.333,0.833,15.887,11.352,70.751
0.15,Gated-risk,120,61.667,18.333,86.874,18.333,0.0,0.833,15.303,11.421,67.872
0.2,PPO,120,0.0,100.0,18.931,68.333,31.667,67.5,38.556,60.067,0.0
0.2,Risk-only,120,0.0,0.0,0.899,0.0,0.0,100.0,0.014,0.0,0.0
0.2,No-action guard,120,0.0,100.0,20.338,65.833,34.167,66.667,34.759,50.505,0.0
0.2,Guard,120,52.5,26.667,77.462,26.667,0.0,2.5,13.687,8.178,59.311
0.2,Shield,120,47.5,33.333,76.372,30.833,2.5,0.0,13.612,8.216,58.941
0.2,Gated-risk,120,39.167,32.5,75.401,32.5,0.0,2.5,13.493,7.18,57.07
0.25,PPO,120,0.0,100.0,17.322,69.167,30.833,74.167,37.342,56.666,0.0
0.25,Risk-only,120,0.0,0.0,0.899,0.0,0.0,100.0,0.014,0.0,0.0
0.25,No-action guard,120,0.0,100.0,16.813,69.167,30.833,73.333,33.902,57.724,0.0
0.25,Guard,120,30.0,43.333,64.124,40.0,3.333,4.167,11.662,7.435,50.624
0.25,Shield,120,25.0,50.0,64.621,45.833,4.167,5.0,11.837,8.302,52.02
0.25,Gated-risk,120,18.333,52.5,61.291,51.667,0.833,4.167,11.253,9.016,48.157
