method,density,episodes,policy_inference_ms_mean,policy_inference_ms_p95,control_loop_wall_ms_mean,control_loop_wall_ms_p95,intervention_rate_per_100_steps,intervention_rate_per_km,delta_policy_mean_vs_ppo_ms,delta_control_p95_vs_ppo_ms
PPO,0.08,120,1.625,4.124,7.068,12.015,0.0,0.0,0.0,0.0
Risk-only,0.08,120,1.334,3.937,4.934,9.389,0.0,0.0,-0.291,-2.626
No-action guard,0.08,120,1.393,3.185,6.481,10.717,0.0,0.0,-0.232,-1.298
Guard,0.08,120,1.378,4.018,7.094,14.203,84.512,1694.392,-0.247,2.188
Shield,0.08,120,1.367,3.918,7.152,14.164,84.686,1697.007,-0.258,2.149
Gated-risk,0.08,120,1.366,3.955,7.163,14.52,84.164,1690.511,-0.259,2.505
PPO,0.15,120,1.387,3.615,10.29,16.932,0.0,0.0,0.0,0.0
Risk-only,0.15,120,0.827,1.639,4.119,6.148,0.0,0.0,-0.56,-10.784
No-action guard,0.15,120,0.873,1.165,6.204,7.589,0.0,0.0,-0.514,-9.342
Guard,0.15,120,0.863,1.452,8.373,13.31,69.646,1582.301,-0.524,-3.622
Shield,0.15,120,0.838,1.423,7.984,12.681,70.751,1619.628,-0.548,-4.251
Gated-risk,0.15,120,0.8,1.366,7.732,12.398,67.872,1604.23,-0.587,-4.534
PPO,0.2,120,1.396,3.672,13.133,21.981,0.0,0.0,0.0,0.0
Risk-only,0.2,120,1.021,1.778,6.706,9.511,0.0,0.0,-0.375,-12.47
No-action guard,0.2,120,1.308,3.227,12.203,19.644,0.0,0.0,-0.088,-2.337
Guard,0.2,120,1.005,1.598,13.569,20.71,59.311,1585.039,-0.391,-1.271
Shield,0.2,120,1.001,1.613,13.786,21.373,58.941,1569.793,-0.395,-0.608
Gated-risk,0.2,120,0.985,1.497,13.668,20.981,57.07,1522.147,-0.41,-0.999
PPO,0.25,120,1.364,3.368,14.795,23.86,0.0,0.0,0.0,0.0
Risk-only,0.25,120,0.932,1.238,7.259,8.575,0.0,0.0,-0.432,-15.285
No-action guard,0.25,120,1.243,2.932,14.427,23.01,0.0,0.0,-0.121,-0.85
Guard,0.25,120,0.795,1.007,13.215,17.77,50.624,1626.958,-0.569,-6.09
Shield,0.25,120,0.762,0.978,12.352,16.675,52.02,1660.594,-0.602,-7.185
Gated-risk,0.25,120,0.746,0.956,12.345,16.472,48.157,1555.424,-0.619,-7.388
