density,label,method,episodes,success,cost,route_completion,mean_speed_kmh,median_speed_kmh,stop_ratio,low_progress,ttc_dangerous_fraction,success_pct,cost_pct,route_completion_pct,stop_ratio_pct,low_progress_pct,ttc_dangerous_fraction_pct
0.08,baseline,PPO,120,0.0,1.0,0.2579,44.4554,49.769,0.0014,0.425,0.5552,0.0,100.0,25.789,0.1368,42.5,55.5237
0.08,risk_only,Risk-only,120,0.0,0.0,0.009,0.0133,0.0125,1.0,1.0,0.0,0.0,0.0,0.899,100.0,100.0,0.0
0.08,no_action_guard,No-action guard,120,0.025,0.975,0.2866,39.5059,43.9517,0.0014,0.4333,0.4041,2.5,97.5,28.6624,0.1389,43.3333,40.415
0.08,guard_only,Guard,120,0.85,0.05,0.9678,17.9675,18.4187,0.0048,0.0,0.1381,85.0,5.0,96.7839,0.4809,0.0,13.8092
0.08,shield_only,Shield,120,0.8333,0.0667,0.9648,17.9791,18.416,0.0054,0.0,0.1029,83.3333,6.6667,96.4822,0.5363,0.0,10.2936
0.08,gated_risk,Gated-risk,120,0.85,0.0417,0.9688,17.9367,18.4104,0.006,0.0,0.1342,85.0,4.1667,96.8824,0.596,0.0,13.4246
0.15,baseline,PPO,120,0.0,1.0,0.2075,41.0529,45.9858,0.0014,0.575,0.6035,0.0,100.0,20.7462,0.1445,57.5,60.3529
0.15,risk_only,Risk-only,120,0.0,0.0,0.009,0.0135,0.0125,1.0,1.0,0.0,0.0,0.0,0.899,100.0,100.0,0.0
0.15,no_action_guard,No-action guard,120,0.0083,1.0,0.2173,36.832,40.8755,0.002,0.5583,0.4869,0.8333,100.0,21.7257,0.1962,55.8333,48.6868
0.15,guard_only,Guard,120,0.5917,0.2083,0.8638,15.8015,17.1668,0.0245,0.0,0.1182,59.1667,20.8333,86.3817,2.4487,0.0,11.8176
0.15,shield_only,Shield,120,0.625,0.1917,0.8569,15.8871,17.2464,0.028,0.0083,0.1135,62.5,19.1667,85.6873,2.8035,0.8333,11.3517
0.15,gated_risk,Gated-risk,120,0.6167,0.1833,0.8687,15.3027,16.9526,0.0353,0.0083,0.1142,61.6667,18.3333,86.8744,3.5267,0.8333,11.4212
0.2,baseline,PPO,120,0.0,1.0,0.1893,38.5564,42.64,0.0019,0.675,0.6007,0.0,100.0,18.931,0.1899,67.5,60.0674
0.2,risk_only,Risk-only,120,0.0,0.0,0.009,0.0136,0.0125,1.0,1.0,0.0,0.0,0.0,0.899,100.0,100.0,0.0
0.2,no_action_guard,No-action guard,120,0.0,1.0,0.2034,34.7591,38.4016,0.0019,0.6667,0.505,0.0,100.0,20.3376,0.194,66.6667,50.505
0.2,guard_only,Guard,120,0.525,0.2667,0.7746,13.6872,14.6784,0.0535,0.025,0.0818,52.5,26.6667,77.4615,5.3474,2.5,8.1778
0.2,shield_only,Shield,120,0.475,0.3333,0.7637,13.6118,14.9213,0.0506,0.0,0.0822,47.5,33.3333,76.3725,5.0631,0.0,8.2162
0.2,gated_risk,Gated-risk,120,0.3917,0.325,0.754,13.4933,14.7129,0.0525,0.025,0.0718,39.1667,32.5,75.4011,5.2466,2.5,7.1797
0.25,baseline,PPO,120,0.0,1.0,0.1732,37.342,41.5136,0.0019,0.7417,0.5667,0.0,100.0,17.3216,0.1888,74.1667,56.666
0.25,risk_only,Risk-only,120,0.0,0.0,0.009,0.0137,0.0126,1.0,1.0,0.0,0.0,0.0,0.8991,100.0,100.0,0.0
0.25,no_action_guard,No-action guard,120,0.0,1.0,0.1681,33.9025,37.5967,0.0016,0.7333,0.5772,0.0,100.0,16.8134,0.1649,73.3333,57.7236
0.25,guard_only,Guard,120,0.3,0.4333,0.6412,11.6624,12.3462,0.0802,0.0417,0.0743,30.0,43.3333,64.1242,8.0178,4.1667,7.435
0.25,shield_only,Shield,120,0.25,0.5,0.6462,11.8371,12.7881,0.0824,0.05,0.083,25.0,50.0,64.6205,8.2359,5.0,8.3024
0.25,gated_risk,Gated-risk,120,0.1833,0.525,0.6129,11.2526,11.8644,0.0844,0.0417,0.0902,18.3333,52.5,61.2915,8.4399,4.1667,9.0164
