label,train_seed,density,episodes,policy_inference_ms_mean,policy_inference_ms_p95,control_loop_wall_ms_mean,control_loop_wall_ms_p95,total_action_latency_ms_mean,total_action_latency_ms_p95,method
baseline,0,0.08,40,1.4141,3.5191,6.3513,10.8256,1.4141,3.5191,PPO
baseline,1,0.08,40,1.8183,4.3891,7.642,12.4547,1.8183,4.3891,PPO
baseline,2,0.08,40,1.6435,4.4652,7.2102,12.7645,1.6435,4.4652,PPO
risk_only,0,0.08,40,1.3229,3.847,4.8728,9.3258,1.3229,3.847,Risk-only
risk_only,1,0.08,40,1.3468,3.9714,5.037,9.4343,1.3468,3.9714,Risk-only
risk_only,2,0.08,40,1.333,3.9922,4.892,9.4075,1.333,3.9922,Risk-only
no_action_guard,0,0.08,40,1.4363,3.5198,7.1654,12.2676,1.4363,3.5198,No-action guard
no_action_guard,1,0.08,40,1.4534,3.4754,6.5864,11.0039,1.4534,3.4754,No-action guard
no_action_guard,2,0.08,40,1.2907,2.5593,5.6918,8.8786,1.2907,2.5593,No-action guard
guard_only,0,0.08,40,1.3182,3.658,6.8588,14.0794,1.3182,3.658,Guard
guard_only,1,0.08,40,1.4477,4.3517,7.3565,14.8288,1.4477,4.3517,Guard
guard_only,2,0.08,40,1.3691,4.0452,7.0675,13.7019,1.3691,4.0452,Guard
shield_only,0,0.08,40,1.4075,3.9697,7.4272,14.2987,1.4075,3.9697,Shield
shield_only,1,0.08,40,1.3524,4.0263,7.0346,14.3922,1.3524,4.0263,Shield
shield_only,2,0.08,40,1.3408,3.7574,6.9951,13.7998,1.3408,3.7574,Shield
gated_risk,0,0.08,40,1.3168,3.7642,6.839,14.0291,1.3168,3.7642,Gated-risk
gated_risk,1,0.08,40,1.4038,3.9292,7.3041,14.8727,1.4038,3.9292,Gated-risk
gated_risk,2,0.08,40,1.3774,4.1724,7.3457,14.6594,1.3774,4.1724,Gated-risk
baseline,0,0.15,40,1.4382,3.7513,10.5761,17.6061,1.4382,3.7513,PPO
baseline,1,0.15,40,1.3915,3.6603,10.3606,16.4148,1.3915,3.6603,PPO
baseline,2,0.15,40,1.3306,3.4333,9.9334,16.7749,1.3306,3.4333,PPO
risk_only,0,0.15,40,0.8335,1.6126,4.185,6.3603,0.8335,1.6126,Risk-only
risk_only,1,0.15,40,0.8269,1.6257,4.1419,6.1074,0.8269,1.6257,Risk-only
risk_only,2,0.15,40,0.8208,1.6776,4.0306,5.9752,0.8208,1.6776,Risk-only
no_action_guard,0,0.15,40,0.8604,1.1544,6.2922,7.6749,0.8604,1.1544,No-action guard
no_action_guard,1,0.15,40,0.8656,1.1448,5.8444,7.1703,0.8656,1.1448,No-action guard
no_action_guard,2,0.15,40,0.892,1.1971,6.476,7.9232,0.892,1.1971,No-action guard
guard_only,0,0.15,40,0.8832,1.5377,8.2705,12.7445,0.8832,1.5377,Guard
guard_only,1,0.15,40,0.863,1.4278,8.4131,13.5637,0.863,1.4278,Guard
guard_only,2,0.15,40,0.8417,1.3896,8.4357,13.621,0.8417,1.3896,Guard
shield_only,0,0.15,40,0.8571,1.5226,8.1655,13.1578,0.8571,1.5226,Shield
shield_only,1,0.15,40,0.8179,1.3128,7.8422,12.329,0.8179,1.3128,Shield
shield_only,2,0.15,40,0.8404,1.434,7.9438,12.5559,0.8404,1.434,Shield
gated_risk,0,0.15,40,0.8032,1.4023,7.6013,12.2636,0.8032,1.4023,Gated-risk
gated_risk,1,0.15,40,0.7943,1.4162,7.7519,12.6334,0.7943,1.4162,Gated-risk
gated_risk,2,0.15,40,0.8024,1.278,7.842,12.2976,0.8024,1.278,Gated-risk
baseline,0,0.2,40,1.3168,3.075,12.1096,19.5211,1.3168,3.075,PPO
baseline,1,0.2,40,1.4815,4.0896,13.9084,23.2609,1.4815,4.0896,PPO
baseline,2,0.2,40,1.3889,3.8511,13.3807,23.1604,1.3889,3.8511,PPO
risk_only,0,0.2,40,1.0377,1.8969,6.7558,9.7568,1.0377,1.8969,Risk-only
risk_only,1,0.2,40,1.0187,1.7878,6.7401,9.4893,1.0187,1.7878,Risk-only
risk_only,2,0.2,40,1.0066,1.6507,6.6228,9.2875,1.0066,1.6507,Risk-only
no_action_guard,0,0.2,40,1.4422,4.0124,13.4628,21.7737,1.4422,4.0124,No-action guard
no_action_guard,1,0.2,40,1.2272,2.7863,11.6074,18.9958,1.2272,2.7863,No-action guard
no_action_guard,2,0.2,40,1.2544,2.8827,11.5399,18.1626,1.2544,2.8827,No-action guard
guard_only,0,0.2,40,1.0189,1.7032,13.4764,20.5271,1.0189,1.7032,Guard
guard_only,1,0.2,40,1.012,1.5981,13.7214,21.259,1.012,1.5981,Guard
guard_only,2,0.2,40,0.9845,1.492,13.5095,20.3442,0.9845,1.492,Guard
shield_only,0,0.2,40,0.9859,1.4625,13.6314,20.9254,0.9859,1.4625,Shield
shield_only,1,0.2,40,1.0103,1.723,13.9108,21.4157,1.0103,1.723,Shield
shield_only,2,0.2,40,1.0054,1.654,13.8151,21.7777,1.0054,1.654,Shield
gated_risk,0,0.2,40,0.9853,1.558,13.6436,21.291,0.9853,1.558,Gated-risk
gated_risk,1,0.2,40,0.982,1.3781,13.5016,20.0729,0.982,1.3781,Gated-risk
gated_risk,2,0.2,40,0.9892,1.555,13.8584,21.5802,0.9892,1.555,Gated-risk
baseline,0,0.25,40,1.3447,3.3006,14.5856,23.8883,1.3447,3.3006,PPO
baseline,1,0.25,40,1.4227,3.6603,15.5103,24.4484,1.4227,3.6603,PPO
baseline,2,0.25,40,1.3261,3.1441,14.29,23.2431,1.3261,3.1441,PPO
risk_only,0,0.25,40,0.9483,1.2681,7.3007,8.6562,0.9483,1.2681,Risk-only
risk_only,1,0.25,40,0.9268,1.2284,7.2003,8.6511,0.9268,1.2284,Risk-only
risk_only,2,0.25,40,0.9223,1.2185,7.2754,8.4174,0.9223,1.2185,Risk-only
no_action_guard,0,0.25,40,1.4324,3.7081,16.0182,26.2305,1.4324,3.7081,No-action guard
no_action_guard,1,0.25,40,1.1538,2.6434,13.6848,22.4062,1.1538,2.6434,No-action guard
no_action_guard,2,0.25,40,1.1431,2.4443,13.5769,20.393,1.1431,2.4443,No-action guard
guard_only,0,0.25,40,0.8373,1.0529,13.9284,18.1654,0.8373,1.0529,Guard
guard_only,1,0.25,40,0.7681,0.9725,12.5882,17.0779,0.7681,0.9725,Guard
guard_only,2,0.25,40,0.781,0.9969,13.1284,18.0679,0.781,0.9969,Guard
shield_only,0,0.25,40,0.7965,1.0153,13.0567,17.7313,0.7965,1.0153,Shield
shield_only,1,0.25,40,0.7657,0.9838,12.7221,17.0854,0.7657,0.9838,Shield
shield_only,2,0.25,40,0.7249,0.9355,11.2783,15.2078,0.7249,0.9355,Shield
gated_risk,0,0.25,40,0.7617,0.9779,12.3973,16.3689,0.7617,0.9779,Gated-risk
gated_risk,1,0.25,40,0.7415,0.9468,12.4069,16.3971,0.7415,0.9468,Gated-risk
gated_risk,2,0.25,40,0.7344,0.9438,12.2319,16.6494,0.7344,0.9438,Gated-risk
