label,role,variant,algo,train_seed,action_filter,sensitivity_axis,sensitivity_value,override_ttc_threshold,override_target_speed_kmh,density,scenario_start_seed,map_seed,episode,success,cost,route_completion,collision,crash_vehicle,crash_object,out_of_road,episode_length,reward,shaped_reward,mean_speed_kmh,median_speed_kmh,p10_speed_kmh,stop_ratio,low_progress,progress_per_cost,path_length_m,mean_ttc,min_ttc,ttc_risk_mean,ttc_dangerous_fraction,intervention_count,soft_guard_count,hard_shield_count,overspeed_guard_count,intervention_rate_per_100_steps,intervention_rate_per_km,policy_inference_ms_mean,policy_inference_ms_p50,policy_inference_ms_p95,policy_inference_ms_p99,env_step_wall_ms_mean,env_step_wall_ms_p95,control_loop_wall_ms_mean,control_loop_wall_ms_p95,total_action_latency_ms_mean,total_action_latency_ms_p95,source_config_json,source_model_path
baseline,lower_bound,baseline,ppo,0,runtime_speed,,,,,0.15,10000,10000,0,0.0,1.0,0.37798262508893915,1.0,1.0,0.0,0.0,393.0,138.42072659535873,138.42072659535873,18.071055852364754,18.426878075358214,17.93569082374829,0.0,0.0,0.37798262508893915,196.85772977600254,18.169688035348248,0.37685582086509317,0.00908927292507448,0.06779661016949153,333.0,0.0,0.0,333.0,84.7328244274809,1691.5769595580978,0.7746558299177959,0.4183000128250569,0.7016212097369123,1.4528662792872613,4.765182817736925,6.222749198786914,5.539838647654721,6.704364391043782,0.7746558299177959,0.7016212097369123,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed0_1m/runs/baseline_ppo_s0/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed0_1m/runs/baseline_ppo_s0/model/final_model.zip
baseline,lower_bound,baseline,ppo,0,runtime_speed,,,,,0.15,10000,10001,1,0.0,1.0,0.8522511195589606,1.0,1.0,0.0,0.0,862.0,253.86093609353338,253.86093609353338,18.267896601718085,18.436168455659825,17.96071103512204,0.0,0.0,0.8522511195589606,437.09830803799304,66.35853115327609,0.9048092936940214,0.005599506627266511,0.09375,743.0,0.0,0.0,743.0,86.19489559164734,1699.8464334833748,0.41617914664115013,0.38461750955320895,0.5246007029199967,1.0668499887106002,3.352738294247786,4.208204735186882,3.7689174408889365,4.632478472194634,0.41617914664115013,0.5246007029199967,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed0_1m/runs/baseline_ppo_s0/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed0_1m/runs/baseline_ppo_s0/model/final_model.zip
baseline,lower_bound,baseline,ppo,0,runtime_speed,,,,,0.15,10000,10002,2,0.0,1.0,0.4606261574943144,1.0,1.0,0.0,0.0,505.0,216.91379256369703,216.91379256369703,18.110804697340726,18.393424122541067,17.943573902124953,0.0,0.0,0.4606261574943144,253.8241498564965,22.957704948092516,1.3509473109534411,0.024975521196025224,0.10877192982456141,428.0,0.0,0.0,428.0,84.75247524752476,1686.206770482543,0.4435821220804338,0.40385901229456067,0.5954749940428883,0.8900093019474296,5.405772949965431,8.910186804132534,5.8493550720458645,9.439612401183693,0.4435821220804338,0.5954749940428883,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed0_1m/runs/baseline_ppo_s0/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed0_1m/runs/baseline_ppo_s0/model/final_model.zip
baseline,lower_bound,baseline,ppo,0,runtime_speed,,,,,0.15,10000,10003,3,1.0,0.0,0.9905153682737972,0.0,0.0,0.0,0.0,918.0,261.99644232865705,261.99644232865705,18.27856516988476,18.41153239587344,17.96085397012157,0.0,0.0,990515.3682737972,465.66848093054466,25.43145441102683,0.9941991682834901,0.012537171072421745,0.18396226415094338,792.0,0.0,0.0,792.0,86.27450980392157,1700.7807752359524,0.41823924082500785,0.3846260078717023,0.540253543294966,1.136839588871227,2.7841197291017794,4.741702400497161,3.2023589699267876,5.146951427741442,0.41823924082500785,0.540253543294966,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed0_1m/runs/baseline_ppo_s0/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed0_1m/runs/baseline_ppo_s0/model/final_model.zip
baseline,lower_bound,baseline,ppo,0,runtime_speed,,,,,0.15,10000,10004,4,0.0,1.0,0.3663431994434346,1.0,1.0,0.0,0.0,405.0,53.27621458155645,53.27621458155645,17.98668568561451,18.357098447259542,17.912018182602214,0.0,0.0,0.3663431994434346,202.17930378466588,31.64122160147955,1.7872363366564608,0.034247972778854954,0.17040358744394618,330.0,0.0,0.0,330.0,81.48148148148148,1632.2145433415455,0.4440239978448292,0.3991310077253729,0.5759383901022365,1.4281692949589322,4.372558383814369,5.184242792893201,4.816582381659199,5.735356803052127,0.4440239978448292,0.5759383901022365,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed0_1m/runs/baseline_ppo_s0/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed0_1m/runs/baseline_ppo_s0/model/final_model.zip
baseline,lower_bound,baseline,ppo,0,runtime_speed,,,,,0.15,10000,10005,5,1.0,0.0,0.9908498381573322,0.0,0.0,0.0,0.0,959.0,416.724402403899,416.724402403899,18.330455202205158,18.471546671795664,17.970550048129034,0.0,0.0,990849.8381573323,487.86637061488113,11.131156372430114,0.05125957270803357,0.03811062193733333,0.5321100917431193,838.0,0.0,0.0,838.0,87.38269030239833,1717.6834692332427,0.41867571617539767,0.38462301017716527,0.5475583893712602,1.0594593058340251,3.5720867681685093,5.641546388505957,3.990762484343907,6.062318605836481,0.41867571617539767,0.5475583893712602,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed0_1m/runs/baseline_ppo_s0/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed0_1m/runs/baseline_ppo_s0/model/final_model.zip
baseline,lower_bound,baseline,ppo,0,runtime_speed,,,,,0.15,10000,10006,6,1.0,0.0,0.9921204208928913,0.0,0.0,0.0,0.0,1232.0,381.3001172473049,381.3001172473049,18.332059076912817,18.426680748307355,17.967725411535127,0.0,0.0,992120.4208928914,626.9100320715942,9.653899331919677,0.019087541198020478,0.032610070810893774,0.2734375,1068.0,0.0,0.0,1068.0,86.68831168831169,1703.5937301415408,0.4168559957793445,0.3854314854834229,0.532056855445262,0.9945886701461869,3.540376660720386,6.705145844898652,3.957232656499731,7.153979773283936,0.4168559957793445,0.532056855445262,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed0_1m/runs/baseline_ppo_s0/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed0_1m/runs/baseline_ppo_s0/model/final_model.zip
baseline,lower_bound,baseline,ppo,0,runtime_speed,,,,,0.15,10000,10007,7,0.0,1.0,0.562843573527506,1.0,1.0,0.0,0.0,927.0,203.47045675373815,203.47045675373815,18.215715456446308,18.37051801763463,17.954205833592276,0.0,0.0,0.562843573527506,468.62119567127996,33.009254988936085,0.6213588589268741,0.028766229556545165,0.14963503649635038,784.0,0.0,0.0,784.0,84.57389428263214,1672.993042657734,0.4739314299179774,0.44204998994246125,0.6259323999984187,0.9225680015515536,8.40693816427466,16.06851899123285,8.880869594192637,16.580468707252294,0.4739314299179774,0.6259323999984187,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed0_1m/runs/baseline_ppo_s0/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed0_1m/runs/baseline_ppo_s0/model/final_model.zip
baseline,lower_bound,baseline,ppo,0,runtime_speed,,,,,0.15,10000,10008,8,1.0,0.0,0.9910372042496977,0.0,0.0,0.0,0.0,977.0,303.92390172735867,303.92390172735867,18.275540714687466,18.410279298024978,17.956210659224226,0.0,0.0,991037.2042496977,495.55872309520186,41.39231247055735,0.0933212961610693,0.020994675651531392,0.15606936416184972,842.0,0.0,0.0,842.0,86.18219037871033,1699.0922785920634,0.4091556082115515,0.3826000029221177,0.5104811920318751,0.9296162787359208,2.952924606170097,4.011321987491101,3.3620802143816486,4.445346194552258,0.4091556082115515,0.5104811920318751,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed0_1m/runs/baseline_ppo_s0/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed0_1m/runs/baseline_ppo_s0/model/final_model.zip
baseline,lower_bound,baseline,ppo,0,runtime_speed,,,,,0.15,10000,10009,9,0.0,1.0,0.7474371390441094,1.0,1.0,0.0,0.0,670.0,156.83961076599138,156.83961076599138,18.208717597763968,18.442524900011627,17.949964152359577,0.0,0.0,0.7474371390441094,338.6884863175837,42.50448117100985,0.5598667561619732,0.002897636090257584,0.07894736842105263,575.0,0.0,0.0,575.0,85.82089552238806,1697.7252644509153,0.3927042255605529,0.3712009929586202,0.4708891865448095,0.9199282035115137,2.224348156944042,2.6982131428667344,2.6170523825045953,3.1286277153412807,0.3927042255605529,0.4708891865448095,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed0_1m/runs/baseline_ppo_s0/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed0_1m/runs/baseline_ppo_s0/model/final_model.zip
