label,role,variant,algo,train_seed,action_filter,sensitivity_axis,sensitivity_value,override_ttc_threshold,override_target_speed_kmh,density,scenario_start_seed,map_seed,episode,success,cost,route_completion,collision,crash_vehicle,crash_object,out_of_road,episode_length,reward,shaped_reward,mean_speed_kmh,median_speed_kmh,p10_speed_kmh,stop_ratio,low_progress,progress_per_cost,path_length_m,mean_ttc,min_ttc,ttc_risk_mean,ttc_dangerous_fraction,intervention_count,soft_guard_count,hard_shield_count,overspeed_guard_count,intervention_rate_per_100_steps,intervention_rate_per_km,policy_inference_ms_mean,policy_inference_ms_p50,policy_inference_ms_p95,policy_inference_ms_p99,env_step_wall_ms_mean,env_step_wall_ms_p95,control_loop_wall_ms_mean,control_loop_wall_ms_p95,total_action_latency_ms_mean,total_action_latency_ms_p95,source_config_json,source_model_path
baseline,lower_bound,baseline,ppo,0,runtime_ttc_speed,,,,,0.15,10000,10000,0,0.0,1.0,0.37589465058598953,1.0,1.0,0.0,0.0,444.0,130.68695553923197,130.68695553923197,15.938484063593824,18.333145450695802,2.2604794207248733,0.09234234234234234,0.0,0.37589465058598953,196.0623047063966,1.646101134301772,0.083941498989089,0.07251673223131302,1.0,368.0,0.0,48.0,320.0,82.88288288288288,1876.9543719843557,0.6144162730748035,0.3905375051544979,0.5326375612639819,0.7918046510894778,4.06415399373981,4.953434853814542,4.678570266814613,5.387225400772877,0.6144162730748035,0.5326375612639819,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed0_1m/runs/baseline_ppo_s0/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed0_1m/runs/baseline_ppo_s0/model/final_model.zip
baseline,lower_bound,baseline,ppo,0,runtime_ttc_speed,,,,,0.15,10000,10001,1,0.0,1.0,0.9311345477576366,0.0,0.0,0.0,1.0,958.0,257.77861676817224,257.77861676817224,18.224754105951728,18.425816497902108,17.945686147285954,0.0,0.0,0.9311345477576366,484.5287959896331,56.856720656321635,8.130078103700155,0.0,0.0,817.0,3.0,0.0,814.0,85.28183716075156,1686.174292967059,0.4119533410945728,0.3881529992213473,0.5216165518504567,0.7592848458443757,3.37178906481611,4.6032101003220305,3.7837424059106826,5.02292578748893,0.4119533410945728,0.5216165518504567,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed0_1m/runs/baseline_ppo_s0/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed0_1m/runs/baseline_ppo_s0/model/final_model.zip
baseline,lower_bound,baseline,ppo,0,runtime_ttc_speed,,,,,0.15,10000,10002,2,0.0,0.0,0.9261726688212853,0.0,0.0,0.0,0.0,1500.0,365.0651225144476,365.0651225144476,12.946190570777,17.932143396698507,2.86414859736715,0.035333333333333335,0.0,926172.6688212854,538.7244144998366,31.654046655883345,0.8649102821256737,0.009285968517911396,0.03096774193548387,832.0,114.0,27.0,691.0,55.46666666666666,1544.3888890249143,0.4349109927813212,0.4018980107503012,0.5800396014819852,0.8655675459885969,4.044322838153069,7.838713610544801,4.47923383093439,8.341903910331894,0.4349109927813212,0.5800396014819852,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed0_1m/runs/baseline_ppo_s0/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed0_1m/runs/baseline_ppo_s0/model/final_model.zip
baseline,lower_bound,baseline,ppo,0,runtime_ttc_speed,,,,,0.15,10000,10003,3,1.0,0.0,0.990463030816405,0.0,0.0,0.0,0.0,1050.0,306.95365353923745,306.95365353923745,15.956381221942083,18.229180629318563,6.343499711400069,0.0,0.0,990463.030816405,464.72493703567926,111.40100180154992,5.858593020159808,0.0,0.0,704.0,41.0,2.0,661.0,67.04761904761905,1514.8745933251919,0.4059167436623414,0.391887006117031,0.5018658528570085,0.7437168879550881,2.8053159402250976,4.667095857439561,3.211232683887439,5.18365719326539,0.4059167436623414,0.5018658528570085,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed0_1m/runs/baseline_ppo_s0/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed0_1m/runs/baseline_ppo_s0/model/final_model.zip
baseline,lower_bound,baseline,ppo,0,runtime_ttc_speed,,,,,0.15,10000,10004,4,0.0,0.0,0.7604234055757373,0.0,0.0,0.0,0.0,1500.0,117.8892490475342,117.8892490475342,10.231338704640603,8.991451733951934,1.7534873696207758,0.05533333333333333,0.0,760423.4055757374,424.36808384853475,49.89369094500882,5.504771727035179,0.0,0.0,573.0,150.0,3.0,420.0,38.2,1350.2429183729917,0.48442395326370996,0.46370550990104675,0.6428379609133117,0.8826941953157074,7.752139341881654,10.36773611413082,8.236563295145364,11.038993066176772,0.48442395326370996,0.6428379609133117,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed0_1m/runs/baseline_ppo_s0/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed0_1m/runs/baseline_ppo_s0/model/final_model.zip
baseline,lower_bound,baseline,ppo,0,runtime_ttc_speed,,,,,0.15,10000,10005,5,1.0,0.0,0.9903705352154789,0.0,0.0,0.0,0.0,1018.0,418.12686342750226,418.12686342750226,17.27669933191046,18.381728580202946,13.403470458951851,0.01669941060903733,0.0,990370.535215479,487.9726910677689,30.985990367156163,4.729258027962915,5.3190957178209175e-05,0.006802721088435374,809.0,24.0,11.0,774.0,79.46954813359528,1657.8796617281341,0.4118417758720585,0.38574650534428656,0.5271886489936151,0.8499179684440619,3.5579331251330606,6.181683295289986,3.969774901005119,6.592566226026975,0.4118417758720585,0.5271886489936151,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed0_1m/runs/baseline_ppo_s0/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed0_1m/runs/baseline_ppo_s0/model/final_model.zip
baseline,lower_bound,baseline,ppo,0,runtime_ttc_speed,,,,,0.15,10000,10006,6,0.0,1.0,0.3453305311912225,1.0,1.0,0.0,0.0,504.0,77.90830999813,77.90830999813,15.248977629436796,18.317238961423303,0.014575147666781238,0.1388888888888889,0.0,0.3453305311912225,213.21037344974022,3.590781533199356,0.08110093312519596,0.05106426419081216,0.7066666666666667,427.0,0.0,74.0,353.0,84.72222222222221,2002.7168148113399,0.4043036827906257,0.3814710071310401,0.5115080537507307,0.742932887515053,2.679598894737576,2.9391893069259822,3.0839025775282014,3.371545363916084,0.4043036827906257,0.5115080537507307,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed0_1m/runs/baseline_ppo_s0/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed0_1m/runs/baseline_ppo_s0/model/final_model.zip
baseline,lower_bound,baseline,ppo,0,runtime_ttc_speed,,,,,0.15,10000,10007,7,0.0,1.0,0.1998298370891508,1.0,1.0,0.0,0.0,714.0,102.16708088823044,102.16708088823044,8.228825489263365,6.022219261404592,0.69378161436473,0.13865546218487396,1.0,0.1998298370891508,162.378770010227,39.856328509615096,8.881152721690764,0.0,0.0,241.0,97.0,0.0,144.0,33.753501400560225,1484.1841700415716,0.45428033076821506,0.41672449151519686,0.6058009050320835,0.8301463091629557,5.4057232701889415,6.823494606942404,5.860003600957157,7.305381943297107,0.45428033076821506,0.6058009050320835,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed0_1m/runs/baseline_ppo_s0/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed0_1m/runs/baseline_ppo_s0/model/final_model.zip
baseline,lower_bound,baseline,ppo,0,runtime_ttc_speed,,,,,0.15,10000,10008,8,1.0,0.0,0.9903792269892857,0.0,0.0,0.0,0.0,1017.0,293.817817636269,293.817817636269,17.54881822461231,18.36014414403551,15.22857063133749,0.010816125860373648,0.0,990379.2269892858,495.19508673573256,35.19270771959603,3.00429672547772,0.003275214399986371,0.06914893617021277,811.0,15.0,13.0,783.0,79.74434611602753,1637.7383817477191,0.40529006403585166,0.38480100920423865,0.5172931938432156,0.7715635199565444,2.935814010444113,4.045442206552251,3.3411040744799645,4.489254602231085,0.40529006403585166,0.5172931938432156,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed0_1m/runs/baseline_ppo_s0/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed0_1m/runs/baseline_ppo_s0/model/final_model.zip
baseline,lower_bound,baseline,ppo,0,runtime_ttc_speed,,,,,0.15,10000,10009,9,0.0,1.0,0.6137323378650325,1.0,1.0,0.0,0.0,551.0,123.16394863343686,123.16394863343686,18.164467785582012,18.418569356064346,17.933531684280105,0.0,0.0,0.6137323378650325,277.5997520087094,0.35330816314465496,0.35330816314465496,0.0016866395052106513,1.0,469.0,0.0,0.0,469.0,85.11796733212341,1689.4827772947203,0.400456174795673,0.37664698902517557,0.48308201075997204,0.7879795011831447,2.404439633155661,2.7281700022285804,2.804895807951334,3.1538755138171837,0.400456174795673,0.48308201075997204,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed0_1m/runs/baseline_ppo_s0/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed0_1m/runs/baseline_ppo_s0/model/final_model.zip
