label,role,variant,algo,train_seed,density,scenario_start_seed,map_seed,episode,success,cost,route_completion,collision,crash_vehicle,crash_object,out_of_road,episode_length,reward,shaped_reward,mean_speed_kmh,median_speed_kmh,p10_speed_kmh,stop_ratio,low_progress,progress_per_cost,path_length_m,mean_ttc,min_ttc,ttc_risk_mean,ttc_dangerous_fraction,intervention_count,soft_guard_count,hard_shield_count,overspeed_guard_count,intervention_rate_per_100_steps,intervention_rate_per_km,policy_inference_ms_mean,policy_inference_ms_p50,policy_inference_ms_p95,policy_inference_ms_p99,env_step_wall_ms_mean,env_step_wall_ms_p95,control_loop_wall_ms_mean,control_loop_wall_ms_p95,total_action_latency_ms_mean,total_action_latency_ms_p95,source_config_json,source_model_path
baseline,lower_bound,baseline,ppo,1,0.15,10000,10000,0,0.0,1.0,0.1939239028472598,1.0,1.0,0.0,0.0,89.0,55.38366194231226,55.38366194231226,40.33480579920601,48.24208071809744,10.503411716449937,0.0,1.0,0.1939239028472598,98.43731460846813,5.895189522016773,0.6015752100082468,0.15549794003504186,0.46511627906976744,0.0,0.0,0.0,0.0,0.0,0.0,2.3408675271353236,0.8294089930132031,1.198753595235757,19.15861883899253,7.319594583810265,9.306838398333634,9.66046211094559,12.588327191770057,2.3408675271353236,1.198753595235757,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed1_1m/runs/baseline_ppo_s1/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed1_1m/runs/baseline_ppo_s1/model/final_model.zip
baseline,lower_bound,baseline,ppo,1,0.15,10000,10001,1,0.0,1.0,0.19055621802494055,1.0,1.0,0.0,0.0,82.0,49.618762051369394,49.618762051369394,41.61707810016119,44.14077566252921,9.68256366293742,0.0,1.0,0.19055621802494055,93.19782502885099,0.8614787772716941,0.34661029990728276,0.11103349621953991,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4627999152275506,0.9000164936878718,4.877403049613349,4.972887581388932,8.59762336519297,17.290808198595187,10.06042328042052,18.435528359987075,1.4627999152275506,4.877403049613349,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed1_1m/runs/baseline_ppo_s1/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed1_1m/runs/baseline_ppo_s1/model/final_model.zip
baseline,lower_bound,baseline,ppo,1,0.15,10000,10002,2,0.0,1.0,0.12222933816573717,1.0,1.0,0.0,0.0,69.0,35.16866093696711,35.16866093696711,33.915120692597384,37.02391724224807,8.230284650872735,0.0,1.0,0.12222933816573717,63.75675178120664,11.189013447997514,0.5683235018716012,0.27877119172532616,0.5362318840579711,0.0,0.0,0.0,0.0,0.0,0.0,1.0825082466961222,0.8342969958903268,2.9844499978935195,4.895137685816735,9.002644217537675,15.855102395289578,10.085152464233797,17.91682920302264,1.0825082466961222,2.9844499978935195,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed1_1m/runs/baseline_ppo_s1/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed1_1m/runs/baseline_ppo_s1/model/final_model.zip
baseline,lower_bound,baseline,ppo,1,0.15,10000,10003,3,0.0,1.0,0.25325174218899404,1.0,1.0,0.0,0.0,91.0,82.78626565346092,82.78626565346092,46.21146494415343,50.5547060158903,11.001614178732112,0.0,0.0,0.25325174218899404,115.5013745869524,4.3510525712295705,0.04654567325232678,0.2655309200370653,0.7333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.3473483189815083,0.875619996804744,5.037538998294622,7.035653803904999,4.704280175456706,7.857047996367328,6.051628494438214,9.616389499569777,1.3473483189815083,5.037538998294622,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed1_1m/runs/baseline_ppo_s1/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed1_1m/runs/baseline_ppo_s1/model/final_model.zip
baseline,lower_bound,baseline,ppo,1,0.15,10000,10004,4,0.0,1.0,0.17571146055911738,1.0,1.0,0.0,0.0,85.0,77.36295701659695,77.36295701659695,40.4788435829002,43.81031203211626,10.39584539347835,0.0,1.0,0.17571146055911738,94.44201422783313,5.374143845768471,0.5749323917894278,0.29344208200783445,0.5822784810126582,0.0,0.0,0.0,0.0,0.0,0.0,1.4261730112861295,0.8787389961071312,4.95066280127503,5.895458998274989,9.020332669537952,15.796500988653856,10.446505680824082,17.01037519087549,1.4261730112861295,4.95066280127503,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed1_1m/runs/baseline_ppo_s1/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed1_1m/runs/baseline_ppo_s1/model/final_model.zip
baseline,lower_bound,baseline,ppo,1,0.15,10000,10005,5,0.0,1.0,0.14526058735635744,1.0,1.0,0.0,0.0,68.0,41.55021688798916,41.55021688798916,36.33668982396062,38.12909603139693,8.494557304604166,0.0,1.0,0.14526058735635744,67.53955469048933,11.317864213055739,0.5690664311768989,0.2760691908485018,0.6428571428571429,0.0,0.0,0.0,0.0,0.0,0.0,1.523932060937274,0.9619365009712055,4.881012697296683,5.139104228146606,10.200820000189946,16.99147885083221,11.72475206112722,19.70313436468132,1.523932060937274,4.881012697296683,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed1_1m/runs/baseline_ppo_s1/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed1_1m/runs/baseline_ppo_s1/model/final_model.zip
baseline,lower_bound,baseline,ppo,1,0.15,10000,10006,6,0.0,1.0,0.2876364516742744,0.0,0.0,0.0,1.0,151.0,102.36526227692339,102.36526227692339,45.030195686203015,51.587375064047194,17.756940276763984,0.0,0.0,0.2876364516742744,187.8268775687525,2.5333911939065534,0.0433821265130058,0.10015122294645357,0.9655172413793104,0.0,0.0,0.0,0.0,0.0,0.0,1.0841643977031383,0.9178659965982661,1.680702502198983,4.739547497592866,6.357528449888865,12.212022003950551,7.4416928475920034,14.288766506069805,1.0841643977031383,1.680702502198983,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed1_1m/runs/baseline_ppo_s1/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed1_1m/runs/baseline_ppo_s1/model/final_model.zip
baseline,lower_bound,baseline,ppo,1,0.15,10000,10007,7,0.0,1.0,0.06959451339685187,1.0,1.0,0.0,0.0,65.0,33.11740135742802,33.11740135742802,29.92859916786195,32.90390782167061,7.44796715717079,0.0,1.0,0.06959451339685187,53.31637326116553,5.874424292033568,0.7947540440442742,0.26271851213462766,0.660377358490566,0.0,0.0,0.0,0.0,0.0,0.0,2.2163015532826718,0.9609789995010942,5.452324205543845,9.272453191224486,18.10092106103324,23.409653591807,20.317222614315913,26.689917990006503,2.2163015532826718,5.452324205543845,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed1_1m/runs/baseline_ppo_s1/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed1_1m/runs/baseline_ppo_s1/model/final_model.zip
baseline,lower_bound,baseline,ppo,1,0.15,10000,10008,8,0.0,1.0,0.14724425647008216,0.0,0.0,0.0,1.0,74.0,46.30727082469605,46.30727082469605,35.75057000723421,39.701433864635405,8.800905741118111,0.0,1.0,0.14724425647008216,72.35647195985428,12.966581603422316,2.2862482966430293,0.07266928891481128,0.3584905660377358,0.0,0.0,0.0,0.0,0.0,0.0,1.7239434329550587,0.9202600049320608,5.014093497447902,6.358700131386271,6.543498364162342,12.00402974136523,8.267441797117401,14.353818455856526,1.7239434329550587,5.014093497447902,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed1_1m/runs/baseline_ppo_s1/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed1_1m/runs/baseline_ppo_s1/model/final_model.zip
baseline,lower_bound,baseline,ppo,1,0.15,10000,10009,9,0.0,1.0,0.12782133898787923,1.0,1.0,0.0,0.0,61.0,34.955362293732655,34.955362293732655,32.865352535760636,32.989800845314555,7.463354712046554,0.0,1.0,0.12782133898787923,54.30809541663417,10.90559026414,0.5266984512159941,0.2718476879369367,0.5409836065573771,0.0,0.0,0.0,0.0,0.0,0.0,1.8468610162285661,1.0660620027920231,5.143122005392797,6.876763000036588,10.686776901358646,15.45292699302081,12.533637917587212,16.985984999337234,1.8468610162285661,5.143122005392797,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed1_1m/runs/baseline_ppo_s1/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed1_1m/runs/baseline_ppo_s1/model/final_model.zip
baseline,lower_bound,baseline,ppo,1,0.15,10000,10010,10,0.0,1.0,0.20387950570555088,1.0,1.0,0.0,0.0,112.0,64.60106993638031,64.60106993638031,37.993528892517524,43.860738628078785,12.086475719894471,0.008928571428571428,0.0,0.20387950570555088,117.20267593276724,9.689750080276529,0.04116108389800538,0.27945147011847005,0.6891891891891891,0.0,0.0,0.0,0.0,0.0,0.0,1.299942571547165,0.9614389928174205,4.134732200327558,5.202869529748568,13.566911599030261,24.244052497670044,14.866854170577426,26.540005143033337,1.299942571547165,4.134732200327558,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed1_1m/runs/baseline_ppo_s1/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed1_1m/runs/baseline_ppo_s1/model/final_model.zip
baseline,lower_bound,baseline,ppo,1,0.15,10000,10011,11,0.0,1.0,0.15990091943503926,1.0,1.0,0.0,0.0,86.0,65.88385665686343,65.88385665686343,38.842363959532854,45.508575863180134,10.261234948917028,0.0,1.0,0.15990091943503926,91.82382711658194,4.296425547358348,0.4288381318129043,0.2636015109686296,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.5435942905876503,0.9585810039425269,4.899314997601323,6.733881304535324,10.499295231860488,19.36422749349731,12.042889522448139,22.2380342456745,1.5435942905876503,4.899314997601323,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed1_1m/runs/baseline_ppo_s1/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed1_1m/runs/baseline_ppo_s1/model/final_model.zip
baseline,lower_bound,baseline,ppo,1,0.15,10000,10012,12,0.0,1.0,0.15482388368369437,1.0,1.0,0.0,0.0,71.0,44.686088516466775,44.686088516466775,35.229569349997,38.1236705436,8.484600547049595,0.0,1.0,0.15482388368369437,68.54665089784936,1.0344693360691553,0.12092648512927946,0.12287559803729377,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1622469723027882,0.8899649983504787,3.446952498052269,4.383970495837274,5.229768463989235,9.66616300138412,6.392015436292023,11.817632490419783,1.1622469723027882,3.446952498052269,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed1_1m/runs/baseline_ppo_s1/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed1_1m/runs/baseline_ppo_s1/model/final_model.zip
baseline,lower_bound,baseline,ppo,1,0.15,10000,10013,13,0.0,1.0,0.14246356772117202,0.0,0.0,0.0,1.0,82.0,41.46452986656486,41.46452986656486,37.24447949400313,43.00870954881857,9.779575250065392,0.0,1.0,0.14246356772117202,83.88189475774558,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.70138630577329,0.9847295004874468,4.8215040973445875,6.316076807561324,11.195493206309393,15.996150956198107,12.896879512082684,18.043310801294865,1.70138630577329,4.8215040973445875,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed1_1m/runs/baseline_ppo_s1/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed1_1m/runs/baseline_ppo_s1/model/final_model.zip
baseline,lower_bound,baseline,ppo,1,0.15,10000,10014,14,0.0,1.0,0.0823563119744157,0.0,0.0,0.0,1.0,69.0,40.62248990011088,40.62248990011088,34.26711708051366,37.12095558412855,8.302200683462626,0.0,1.0,0.0823563119744157,64.56878235344081,16.402255806446984,9.580184199377497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1385331738932545,0.933870003791526,2.244832596625195,4.473412236548022,13.356806608920822,25.38143940037116,14.495339782814076,27.00910839776043,1.1385331738932545,2.244832596625195,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed1_1m/runs/baseline_ppo_s1/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed1_1m/runs/baseline_ppo_s1/model/final_model.zip
baseline,lower_bound,baseline,ppo,1,0.15,10000,10015,15,0.0,1.0,0.16212542632417837,1.0,1.0,0.0,0.0,90.0,91.46763630522055,91.46763630522055,45.27560129855842,49.075289942108625,10.693927763649317,0.0,1.0,0.16212542632417837,111.95984624079249,3.0122950896366696,0.3189669098281106,0.10336130495008586,0.782608695652174,0.0,0.0,0.0,0.0,0.0,0.0,1.0013853114085376,0.95703850092832,1.3570362505561206,1.4570984552847221,6.099465644122877,7.2311878015170805,7.100850955531415,8.246503437840147,1.0013853114085376,1.3570362505561206,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed1_1m/runs/baseline_ppo_s1/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed1_1m/runs/baseline_ppo_s1/model/final_model.zip
baseline,lower_bound,baseline,ppo,1,0.15,10000,10016,16,0.0,1.0,0.30393542745478064,0.0,0.0,0.0,1.0,114.0,104.19085169988313,104.19085169988313,49.31876369075351,54.50536527334316,12.13600243695451,0.008771929824561403,0.0,0.30393542745478064,154.60332557205078,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.287201254040395,0.9090300081879832,4.198102092777842,5.048809631989571,7.032232859688648,11.310387797857398,8.319434113729043,12.996070703229632,1.287201254040395,4.198102092777842,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed1_1m/runs/baseline_ppo_s1/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed1_1m/runs/baseline_ppo_s1/model/final_model.zip
