label,role,variant,algo,train_seed,density,scenario_start_seed,map_seed,episode,success,cost,route_completion,collision,crash_vehicle,crash_object,out_of_road,episode_length,reward,shaped_reward,mean_speed_kmh,median_speed_kmh,p10_speed_kmh,stop_ratio,low_progress,progress_per_cost,path_length_m,mean_ttc,min_ttc,ttc_risk_mean,ttc_dangerous_fraction,intervention_count,soft_guard_count,hard_shield_count,overspeed_guard_count,intervention_rate_per_100_steps,intervention_rate_per_km,policy_inference_ms_mean,policy_inference_ms_p50,policy_inference_ms_p95,policy_inference_ms_p99,env_step_wall_ms_mean,env_step_wall_ms_p95,control_loop_wall_ms_mean,control_loop_wall_ms_p95,total_action_latency_ms_mean,total_action_latency_ms_p95,source_config_json,source_model_path
baseline,lower_bound,baseline,ppo,2,0.08,10000,10000,0,0.0,1.0,0.4093340532819857,0.0,0.0,0.0,1.0,143.0,136.0307242896978,136.0307242896978,54.88154206368845,65.25769823236442,16.264062376155326,0.0,0.0,0.4093340532819857,216.73715282623147,2.113314472975422,0.35825688887050156,0.1332316397088267,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.861269944651912,0.7623920100741088,21.678988610801763,29.203608572715943,17.609386678098804,30.608249096258085,25.470656622750717,41.740720692905604,7.861269944651912,21.678988610801763,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed2_1m/runs/baseline_ppo_s2/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed2_1m/runs/baseline_ppo_s2/model/final_model.zip
baseline,lower_bound,baseline,ppo,2,0.08,10000,10001,1,0.0,1.0,0.22390378891699794,1.0,1.0,0.0,0.0,91.0,70.79099506359893,70.79099506359893,44.25808674997056,48.61030631516468,10.61890113800733,0.0,0.0,0.22390378891699794,110.57793299340473,1.0570577874129323,0.44689855540244083,0.12132129884883286,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9413028029075077,0.8373090095119551,1.1159679997945204,4.877444305748212,4.169072417425923,9.934194000379648,5.110375220333431,11.254134493356105,0.9413028029075077,1.1159679997945204,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed2_1m/runs/baseline_ppo_s2/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed2_1m/runs/baseline_ppo_s2/model/final_model.zip
baseline,lower_bound,baseline,ppo,2,0.08,10000,10002,2,0.0,1.0,0.4198257621708423,1.0,1.0,0.0,0.0,167.0,136.60497254252599,136.60497254252599,50.5125930215297,55.95826107922144,18.622422067142224,0.0,0.0,0.4198257621708423,233.08547209926476,4.142493062910122,0.5524240677905058,0.20579310079897864,0.7291666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.5418557783039455,0.9879099961835891,4.764788605098146,5.283047241682652,7.395578467623125,13.921468301850835,8.93743424592707,16.0281608972582,1.5418557783039455,4.764788605098146,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed2_1m/runs/baseline_ppo_s2/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed2_1m/runs/baseline_ppo_s2/model/final_model.zip
baseline,lower_bound,baseline,ppo,2,0.08,10000,10003,3,0.0,1.0,0.3411329166438305,1.0,1.0,0.0,0.0,110.0,129.21735114091715,129.21735114091715,51.87951534003661,59.843199894238744,13.070153391245318,0.0,0.0,0.3411329166438305,157.2895986020343,1.3636424689884474,0.3296836441037837,0.1454543012404621,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3277888369471342,0.9914190086419694,3.6778730973310303,4.504562501242615,2.7262371823202227,6.6845525972894375,4.054026019267357,8.303359752608229,1.3277888369471342,3.6778730973310303,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed2_1m/runs/baseline_ppo_s2/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed2_1m/runs/baseline_ppo_s2/model/final_model.zip
baseline,lower_bound,baseline,ppo,2,0.08,10000,10004,4,0.0,1.0,0.24603419869034082,1.0,1.0,0.0,0.0,99.0,116.0853737229669,116.0853737229669,49.19783021437091,54.11680816530415,11.940226885920021,0.0,0.0,0.24603419869034082,134.16625526892668,1.7845390154769654,0.18706640455507492,0.22735582718849742,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0340761509723961,0.8823550015222281,1.9045472989091634,3.056697019492276,4.165661081317765,6.133327796123914,5.199737232290161,8.736845698149407,1.0340761509723961,1.9045472989091634,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed2_1m/runs/baseline_ppo_s2/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed2_1m/runs/baseline_ppo_s2/model/final_model.zip
baseline,lower_bound,baseline,ppo,2,0.08,10000,10005,5,0.0,1.0,0.3673817984113242,0.0,0.0,0.0,1.0,130.0,109.01191373955511,109.01191373955511,51.62917758319479,62.48187500740339,15.377498765915737,0.0,0.0,0.3673817984113242,185.14674284055533,2.505864795938086,1.0605256643651826,0.08441688382978785,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1443757619977428,0.9902384990709834,1.744637952651828,5.092884671175851,4.522093468515847,10.81827974849147,5.66646923051359,11.645665943797205,1.1443757619977428,1.744637952651828,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed2_1m/runs/baseline_ppo_s2/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed2_1m/runs/baseline_ppo_s2/model/final_model.zip
baseline,lower_bound,baseline,ppo,2,0.08,10000,10006,6,0.0,1.0,0.14019030353244938,0.0,0.0,0.0,1.0,81.0,51.3639683029258,51.3639683029258,38.76429518338828,44.335166774205646,9.962411151954306,0.0,1.0,0.14019030353244938,86.03724522289417,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0167370747234443,0.9607429965399206,1.4412490127142519,2.0759720064234,3.255335963510816,6.38315400283318,4.272073038234261,7.63180002104491,1.0167370747234443,1.4412490127142519,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed2_1m/runs/baseline_ppo_s2/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed2_1m/runs/baseline_ppo_s2/model/final_model.zip
baseline,lower_bound,baseline,ppo,2,0.08,10000,10007,7,0.0,1.0,0.09424475873311995,1.0,1.0,0.0,0.0,74.0,56.97673196247666,56.97673196247666,36.39533042025122,37.61777548840132,8.329760682426587,0.013513513513513514,1.0,0.09424475873311995,73.87572382507918,12.129516222274018,0.5806197712445108,0.24098874140617715,0.5538461538461539,0.0,0.0,0.0,0.0,0.0,0.0,1.388439378068732,0.9446734984521754,5.193164099910064,5.603674417652655,7.202065149219895,13.930858346429883,8.590504527288628,15.736459999607174,1.388439378068732,5.193164099910064,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed2_1m/runs/baseline_ppo_s2/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed2_1m/runs/baseline_ppo_s2/model/final_model.zip
baseline,lower_bound,baseline,ppo,2,0.08,10000,10008,8,0.0,1.0,0.1494695650488872,0.0,0.0,0.0,1.0,74.0,43.19312258170823,43.19312258170823,36.18582962357422,39.359303957882204,8.775749540568256,0.0,1.0,0.1494695650488872,73.19470795787888,8.622546149815708,7.380902921261293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3857020271274991,0.9702074967208318,4.461802703008287,5.756113855022696,4.34149283879575,8.0376850994071,5.7271948659232494,11.23083454222069,1.3857020271274991,4.461802703008287,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed2_1m/runs/baseline_ppo_s2/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed2_1m/runs/baseline_ppo_s2/model/final_model.zip
baseline,lower_bound,baseline,ppo,2,0.08,10000,10009,9,0.0,1.0,0.5105973400653494,0.0,0.0,0.0,1.0,171.0,127.9895746398559,127.9895746398559,51.21030224461745,55.339666290356185,19.182782941497024,0.0,0.0,0.5105973400653494,242.0990547858824,3.2446551666647343,2.1586128502115742,0.020530348927897846,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3235909297547646,0.9716710046632215,3.7748620015918277,5.545538300066266,4.671368479292312,8.273176499642432,5.994959409047076,11.002296007063705,1.3235909297547646,3.7748620015918277,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed2_1m/runs/baseline_ppo_s2/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_baseline_nenv16_seed2_1m/runs/baseline_ppo_s2/model/final_model.zip
