label,train_seed,density,episodes,success,cost,route_completion,collision,out_of_road,mean_speed_kmh,stop_ratio,low_progress,ttc_dangerous_fraction,intervention_rate_per_100_steps
baseline,0,0.15,40,0.0,1.0,0.20866568585407194,0.725,0.275,41.737793859630045,0.0013330612161859274,0.55,0.6708568398991729,0.0
baseline,1,0.15,40,0.0,1.0,0.19932662186294628,0.525,0.475,41.095740932957504,0.001209757447090045,0.575,0.5546602991684508,0.0
baseline,2,0.15,40,0.0,1.0,0.21439484748869778,0.65,0.35,40.325094920696394,0.0017931347804912973,0.6,0.5850700017238245,0.0
gated_risk,0,0.15,40,0.6,0.2,0.8613493661715113,0.2,0.0,15.373623169671891,0.037896295797518305,0.025,0.09833094483865894,68.40064877323593
gated_risk,1,0.15,40,0.6,0.175,0.8626861915361712,0.175,0.0,15.131052283085442,0.04075371904387663,0.0,0.14578385507125205,67.12814792735543
gated_risk,2,0.15,40,0.65,0.175,0.8821966185041246,0.175,0.0,15.40340785958806,0.027151954511371916,0.0,0.09852048176561154,68.08779962775326
guard_only,0,0.15,40,0.575,0.3,0.8549176409810242,0.25,0.05,15.910736727815578,0.023017665246621265,0.0,0.11622570103853833,70.34165865883467
guard_only,1,0.15,40,0.6,0.15,0.8695936055589565,0.125,0.025,15.83013074444336,0.024613040351031366,0.0,0.1471256830444991,69.46838016741582
guard_only,2,0.15,40,0.6,0.175,0.8669410852313032,0.175,0.0,15.663734121860822,0.025829582846912696,0.0,0.09117718213397344,69.12732917253774
no_action_guard,0,0.15,40,0.0,1.0,0.2314133000097364,0.55,0.45,35.290119405879054,0.00109631476076505,0.5,0.45762549925966783,0.0
no_action_guard,1,0.15,40,0.0,1.0,0.21079686414826804,0.575,0.425,37.48887371249589,0.0019849584648255676,0.575,0.5632473876578844,0.0
no_action_guard,2,0.15,40,0.025,1.0,0.20956099809033607,0.475,0.525,37.71715242318127,0.0028051821316015376,0.6,0.43973124553512805,0.0
risk_only,0,0.15,40,0.0,0.0,0.008989992797395405,0.0,0.0,0.013424013509775273,1.0,1.0,0.0,0.0
risk_only,1,0.15,40,0.0,0.0,0.008989754888489446,0.0,0.0,0.013538425904385355,1.0,1.0,0.0,0.0
risk_only,2,0.15,40,0.0,0.0,0.00898990176521271,0.0,0.0,0.013446948918651006,1.0,1.0,0.0,0.0
shield_only,0,0.15,40,0.525,0.325,0.8196399404289044,0.3,0.025,16.122485295922,0.017047871318589095,0.0,0.0868784180946093,71.58593895628783
shield_only,1,0.15,40,0.65,0.15,0.8719949748722456,0.1,0.05,15.941512641866865,0.023805667369227554,0.025,0.12679523861406575,70.79220201112746
shield_only,2,0.15,40,0.7,0.1,0.8789852152031248,0.075,0.025,15.597189786465947,0.04325130547086014,0.0,0.12687670850945915,69.87601740466887
