label,method,density,episodes,train_seeds,success,cost,route_completion,collision,out_of_road,mean_speed_kmh,median_speed_kmh,stop_ratio,low_progress,ttc_dangerous_fraction,intervention_rate_per_100_steps,intervention_rate_per_km,policy_inference_ms_mean,policy_inference_ms_p95,control_loop_wall_ms_mean,control_loop_wall_ms_p95
baseline,PPO,0.08,120,3,0.0,1.0,0.25789,0.433333,0.566667,44.455421,49.768985,0.001368,0.425,0.555237,0.0,0.0,1.625293,4.124448,7.067821,12.014942
rss_ttc_filter,RSS/TTC filter,0.08,120,3,0.916667,0.083333,0.95733,0.075,0.008333,19.901213,20.412792,0.006047,0.008333,0.152325,84.273876,1525.683988,0.719298,0.945935,3.458613,5.339614
rcpo_lagrangian,RCPO-Lagrangian,0.08,120,3,0.025,0.975,0.296759,0.516667,0.458333,42.189601,47.579576,0.002185,0.366667,0.553873,0.0,0.0,0.437911,0.599049,2.396695,2.967966
guard_only,Guard,0.08,120,3,0.85,0.05,0.967839,0.025,0.025,17.967514,18.418661,0.004809,0.0,0.138092,84.512261,1694.392327,1.378333,4.018299,7.094276,14.203387
shield_only,Shield,0.08,120,3,0.833333,0.066667,0.964822,0.066667,0.0,17.979112,18.416011,0.005363,0.0,0.102936,84.686189,1697.007408,1.366915,3.917774,7.152303,14.163585
gated_risk,Gated-risk,0.08,120,3,0.85,0.041667,0.968824,0.041667,0.0,17.936701,18.410401,0.00596,0.0,0.134246,84.16401,1690.510643,1.366008,3.955238,7.16293,14.520396
baseline,PPO,0.15,120,3,0.0,1.0,0.207462,0.633333,0.366667,41.052877,45.985819,0.001445,0.575,0.603529,0.0,0.0,1.386752,3.614957,10.290056,16.931935
rss_ttc_filter,RSS/TTC filter,0.15,120,3,0.533333,0.441667,0.789431,0.416667,0.025,18.167429,20.070102,0.018401,0.025,0.133509,71.663873,1415.242045,0.740417,0.99149,6.197799,9.768921
rcpo_lagrangian,RCPO-Lagrangian,0.15,120,3,0.0,1.0,0.221441,0.691667,0.308333,39.446284,43.740654,0.00308,0.55,0.601023,0.0,0.0,0.441402,0.621243,3.723687,4.61505
guard_only,Guard,0.15,120,3,0.591667,0.208333,0.863817,0.183333,0.025,15.801534,17.166778,0.024487,0.0,0.118176,69.645789,1582.300852,0.86261,1.45173,8.373134,13.309747
shield_only,Shield,0.15,120,3,0.625,0.191667,0.856873,0.158333,0.033333,15.887063,17.246379,0.028035,0.008333,0.113517,70.751386,1619.628102,0.838446,1.423142,7.983816,12.680894
gated_risk,Gated-risk,0.15,120,3,0.616667,0.183333,0.868744,0.183333,0.0,15.302694,16.952649,0.035267,0.008333,0.114212,67.872199,1604.230388,0.799966,1.36551,7.731746,12.398171
baseline,PPO,0.2,120,3,0.0,1.0,0.18931,0.683333,0.316667,38.556447,42.640023,0.001899,0.675,0.600674,0.0,0.0,1.395721,3.67187,13.132899,21.980816
rss_ttc_filter,RSS/TTC filter,0.2,120,3,0.275,0.7,0.641445,0.683333,0.016667,16.568714,18.806476,0.034974,0.016667,0.104844,61.766315,1327.37656,0.767261,1.033331,8.193409,12.775973
rcpo_lagrangian,RCPO-Lagrangian,0.2,120,3,0.0,1.0,0.202884,0.691667,0.308333,37.885029,41.836124,0.003247,0.641667,0.658621,0.0,0.0,0.449516,0.621416,4.6008,5.737597
guard_only,Guard,0.2,120,3,0.525,0.266667,0.774615,0.266667,0.0,13.687235,14.67843,0.053474,0.025,0.081778,59.311433,1585.039486,1.005133,1.597789,13.569106,20.710096
shield_only,Shield,0.2,120,3,0.475,0.333333,0.763725,0.308333,0.025,13.611842,14.921349,0.050631,0.0,0.082162,58.940925,1569.792608,1.000543,1.613201,13.78576,21.37292
gated_risk,Gated-risk,0.2,120,3,0.391667,0.325,0.754011,0.325,0.0,13.493273,14.712926,0.052466,0.025,0.071797,57.070005,1522.14694,0.985488,1.497057,13.667837,20.9814
baseline,PPO,0.25,120,3,0.0,1.0,0.173216,0.691667,0.308333,37.341953,41.51364,0.001888,0.741667,0.56666,0.0,0.0,1.364493,3.368358,14.7953,23.859948
rss_ttc_filter,RSS/TTC filter,0.25,120,3,0.091667,0.825,0.492365,0.783333,0.041667,14.918613,16.881105,0.069327,0.025,0.098788,53.306925,1290.922308,0.787042,1.0347,9.78626,14.484576
rcpo_lagrangian,RCPO-Lagrangian,0.25,120,3,0.0,1.0,0.176313,0.775,0.225,36.389511,39.735782,0.004166,0.725,0.672996,0.0,0.0,0.436373,0.576583,5.468134,6.947694
guard_only,Guard,0.25,120,3,0.3,0.433333,0.641242,0.4,0.033333,11.662357,12.346229,0.080178,0.041667,0.07435,50.624128,1626.957724,0.795488,1.007454,13.214978,17.770411
shield_only,Shield,0.25,120,3,0.25,0.5,0.646205,0.458333,0.041667,11.837146,12.788128,0.082359,0.05,0.083024,52.019571,1660.593647,0.762374,0.978211,12.352387,16.674833
gated_risk,Gated-risk,0.25,120,3,0.183333,0.525,0.612915,0.516667,0.008333,11.252586,11.864419,0.084399,0.041667,0.090164,48.156745,1555.424038,0.745881,0.956156,12.345363,16.471782
