label,sensitivity_axis,sensitivity_value,episodes,train_seeds,success,cost,route_completion,collision,out_of_road,mean_speed_kmh,stop_ratio,low_progress,ttc_dangerous_fraction,intervention_rate_per_100_steps,control_loop_wall_ms_p95,sensitivity_value_num
guard_only,target_speed_kmh,15,120,3,0.525,0.141667,0.881664,0.125,0.016667,13.969159,0.017245,0.0,0.083545,76.294371,25.669023,15
guard_only,target_speed_kmh,18,120,3,0.625,0.233333,0.847927,0.225,0.008333,15.86859,0.02091,0.008333,0.096308,69.640493,25.287517,18
guard_only,target_speed_kmh,22,120,3,0.558333,0.316667,0.805742,0.291667,0.025,17.780211,0.030813,0.066667,0.098678,61.7507,26.802301,22
shield_only,target_speed_kmh,15,120,3,0.541667,0.158333,0.865117,0.116667,0.041667,13.963737,0.021696,0.0,0.093943,76.573985,25.810797,15
shield_only,target_speed_kmh,18,120,3,0.6,0.208333,0.860455,0.166667,0.041667,15.537841,0.034477,0.0,0.089121,69.090056,27.025186,18
shield_only,target_speed_kmh,22,120,3,0.566667,0.275,0.835022,0.241667,0.033333,17.876762,0.032186,0.025,0.131127,62.754789,26.592528,22
gated_risk,target_speed_kmh,15,120,3,0.483333,0.191667,0.857091,0.191667,0.0,13.908339,0.026208,0.0,0.101531,76.429532,21.940285,15
gated_risk,target_speed_kmh,18,120,3,0.616667,0.191667,0.870509,0.191667,0.0,15.797471,0.022971,0.0,0.112429,69.145313,22.231499,18
gated_risk,target_speed_kmh,22,120,3,0.566667,0.275,0.827861,0.266667,0.008333,17.721824,0.029372,0.041667,0.104104,60.635189,22.257532,22
guard_only,ttc_threshold,6,120,3,0.533333,0.458333,0.777381,0.45,0.008333,17.031804,0.011351,0.016667,0.130116,77.862883,25.191964,6
guard_only,ttc_threshold,8,120,3,0.566667,0.375,0.815981,0.341667,0.033333,16.440629,0.018664,0.025,0.098318,74.42909,25.872149,8
guard_only,ttc_threshold,10,120,3,0.658333,0.208333,0.869294,0.191667,0.016667,16.060238,0.02701,0.0,0.112296,72.407458,25.4688,10
guard_only,ttc_threshold,12,120,3,0.616667,0.191667,0.860753,0.15,0.041667,15.995105,0.016685,0.008333,0.120683,69.697767,25.775443,12
shield_only,ttc_threshold,6,120,3,0.55,0.433333,0.801997,0.416667,0.016667,16.833943,0.015062,0.008333,0.137671,76.982552,25.225463,6
shield_only,ttc_threshold,8,120,3,0.558333,0.35,0.822897,0.341667,0.008333,16.339554,0.025043,0.016667,0.125032,74.455353,25.082882,8
shield_only,ttc_threshold,10,120,3,0.591667,0.25,0.856944,0.2,0.05,16.210545,0.020609,0.008333,0.130387,72.358539,26.246067,10
shield_only,ttc_threshold,12,120,3,0.616667,0.225,0.859442,0.208333,0.016667,15.948229,0.022584,0.008333,0.110473,70.809945,25.690124,12
gated_risk,ttc_threshold,6,120,3,0.533333,0.408333,0.782208,0.408333,0.0,16.546657,0.023452,0.016667,0.139172,74.901495,24.448208,6
gated_risk,ttc_threshold,8,120,3,0.583333,0.341667,0.805501,0.341667,0.0,16.232842,0.024304,0.033333,0.164895,73.119261,23.893845,8
gated_risk,ttc_threshold,10,120,3,0.575,0.291667,0.849939,0.283333,0.008333,16.167664,0.020321,0.0,0.109254,71.237383,24.433774,10
gated_risk,ttc_threshold,12,120,3,0.55,0.216667,0.845636,0.216667,0.0,15.5641,0.027138,0.016667,0.124646,68.064064,22.77549,12
